設立別,學校所在地,畢業生人數,升公立大學日間部人數,升公立大學進修學士班人數,升私立大學日間部人數,升私立大學進修學士班人數,升公立二專日間部人數,升公立二專夜間部人數,升私立二專日間部人數,升私立二專夜間部人數,升警察大學人數,升警察專科學校人數,升軍事院校人數,赴國外_大陸就讀人數,升其他學校人數,升學率,升公立大學日間部比率,升公立大學進修學士班比率,升私立大學日間部比率,升私立大學進修學士班比率,升公立二專日間部比率,升公立二專夜間部比率,升私立二專日間部比率,升私立二專夜間部比率,升警察大學比率,升警察專科學校比率,升軍事院校比率,赴國外_大陸就讀比率,升其他學校比率
國立,新北市,504,101,0,358,3,0,0,0,0,0,1,0,16,15,98.02,20.04,0,71.03,0.6,0,0,0,0,0,0.2,0,3.17,2.98
國立,臺北市,1355,944,5,303,2,0,0,0,0,2,1,8,33,0,95.79,69.67,0.37,22.36,0.15,0,0,0,0,0.15,0.07,0.59,2.44,0
國立,臺中市,11254,5933,270,3772,263,2,1,0,1,4,28,100,39,0,92.53,52.72,2.4,33.52,2.34,0.02,0.01,0,0.01,0.04,0.25,0.89,0.35,0
國立,臺南市,10825,3865,121,5031,537,29,1,2,3,6,48,170,24,0,90.87,35.7,1.12,46.48,4.96,0.27,0.01,0.02,0.03,0.06,0.44,1.57,0.22,0
國立,高雄市,4585,1693,457,1845,88,7,0,35,5,0,45,102,7,3,93.5,36.92,9.97,40.24,1.92,0.15,0,0.76,0.11,0,0.98,2.22,0.15,0.07
國立,宜蘭縣,4009,728,28,2650,17,5,1,1,0,1,27,40,6,0,87.4,18.16,0.7,66.1,0.42,0.12,0.02,0.02,0,0.02,0.67,1,0.15,0
國立,桃園縣,7103,3180,10,3514,32,18,0,1,0,5,9,56,31,1,96.54,44.77,0.14,49.47,0.45,0.25,0,0.01,0,0.07,0.13,0.79,0.44,0.01
國立,新竹縣,1508,502,4,910,11,2,0,0,0,0,4,7,2,0,95.62,33.29,0.27,60.34,0.73,0.13,0,0,0,0,0.27,0.46,0.13,0
國立,苗栗縣,3168,548,121,2161,51,10,4,1,0,0,8,43,1,1,93.09,17.3,3.82,68.21,1.61,0.32,0.13,0.03,0,0,0.25,1.36,0.03,0.03
國立,彰化縣,8191,2925,148,4029,274,19,8,11,1,0,67,58,8,17,92.36,35.71,1.81,49.19,3.35,0.23,0.1,0.13,0.01,0,0.82,0.71,0.1,0.21
國立,南投縣,3621,655,71,2264,69,1,12,15,13,1,34,50,3,4,88.15,18.09,1.96,62.52,1.91,0.03,0.33,0.41,0.36,0.03,0.94,1.38,0.08,0.11
國立,雲林縣,3657,847,218,1994,67,4,3,0,1,9,39,67,2,1,88.93,23.16,5.96,54.53,1.83,0.11,0.08,0,0.03,0.25,1.07,1.83,0.05,0.03
國立,嘉義縣,1029,119,56,653,34,0,0,0,0,0,6,33,0,0,87.56,11.56,5.44,63.46,3.3,0,0,0,0,0,0.58,3.21,0,0
國立,屏東縣,4211,796,196,2176,97,23,0,17,1,2,65,123,2,1,83.09,18.9,4.65,51.67,2.3,0.55,0,0.4,0.02,0.05,1.54,2.92,0.05,0.02
國立,臺東縣,1453,362,4,728,4,17,10,1,0,2,26,26,1,0,81.28,24.91,0.28,50.1,0.28,1.17,0.69,0.07,0,0.14,1.79,1.79,0.07,0
國立,花蓮縣,2193,491,15,1179,7,11,2,3,2,0,20,27,0,1,80.16,22.39,0.68,53.76,0.32,0.5,0.09,0.14,0.09,0,0.91,1.23,0,0.05
國立,澎湖縣,800,283,19,246,4,0,1,0,0,0,5,5,0,0,70.38,35.38,2.38,30.75,0.5,0,0.13,0,0,0,0.63,0.63,0,0
國立,基隆市,2411,299,31,1829,58,0,0,5,1,0,9,24,3,0,93.7,12.4,1.29,75.86,2.41,0,0,0.21,0.04,0,0.37,1,0.12,0
國立,新竹市,2707,1637,2,871,17,4,0,1,0,0,4,13,75,1,96.97,60.47,0.07,32.18,0.63,0.15,0,0.04,0,0,0.15,0.48,2.77,0.04
國立,嘉義市,3783,1477,105,1681,94,19,1,0,2,19,53,62,7,0,93.05,39.04,2.78,44.44,2.48,0.5,0.03,0,0.05,0.5,1.4,1.64,0.19,0
國立,金門縣,637,169,63,274,8,0,0,6,0,0,3,9,0,1,83.67,26.53,9.89,43.01,1.26,0,0,0.94,0,0,0.47,1.41,0,0.16
國立,連江縣,108,40,0,58,0,0,0,0,0,0,0,0,0,0,90.74,37.04,0,53.7,0,0,0,0,0,0,0,0,0,0
縣市立,新北市,12117,3062,68,8096,230,5,0,1,3,3,24,42,23,1,95.39,25.27,0.56,66.82,1.9,0.04,0,0.01,0.02,0.02,0.2,0.35,0.19,0.01
縣市立,臺北市,22148,9738,196,10901,239,6,6,0,8,1,43,77,156,4,96.51,43.97,0.88,49.22,1.08,0.03,0.03,0,0.04,0,0.19,0.35,0.7,0.02
縣市立,臺中市,2873,913,29,1760,24,6,0,0,0,1,15,30,7,2,97.01,31.78,1.01,61.26,0.84,0.21,0,0,0,0.03,0.52,1.04,0.24,0.07
縣市立,臺南市,598,226,55,271,0,0,0,0,0,0,17,10,1,0,96.99,37.79,9.2,45.32,0,0,0,0,0,0,2.84,1.67,0.17,0
縣市立,高雄市,11270,4799,123,5308,156,13,2,4,0,28,109,151,23,0,95.08,42.58,1.09,47.1,1.38,0.12,0.02,0.04,0,0.25,0.97,1.34,0.2,0
縣市立,宜蘭縣,88,5,0,24,0,0,0,0,0,0,0,0,3,0,36.36,5.68,0,27.27,0,0,0,0,0,0,0,0,3.41,0
縣市立,桃園縣,2947,669,2,2132,8,0,0,0,0,0,7,22,12,1,96.81,22.7,0.07,72.34,0.27,0,0,0,0,0,0.24,0.75,0.41,0.03
縣市立,新竹縣,199,49,2,135,3,0,0,0,0,0,1,2,0,0,96.48,24.62,1.01,67.84,1.51,0,0,0,0,0,0.5,1.01,0,0
縣市立,苗栗縣,382,51,5,306,4,0,0,0,0,0,1,2,0,0,96.6,13.35,1.31,80.1,1.05,0,0,0,0,0,0.26,0.52,0,0
縣市立,彰化縣,605,89,3,438,20,0,0,0,0,0,1,12,0,0,93.06,14.71,0.5,72.4,3.31,0,0,0,0,0,0.17,1.98,0,0
縣市立,南投縣,268,58,0,189,0,0,0,0,0,0,0,6,3,0,95.52,21.64,0,70.52,0,0,0,0,0,0,0,2.24,1.12,0
縣市立,雲林縣,381,62,10,264,6,0,0,1,0,0,1,11,7,0,95.01,16.27,2.62,69.29,1.57,0,0,0.26,0,0,0.26,2.89,1.84,0
縣市立,嘉義縣,187,44,1,116,0,0,0,0,0,0,6,3,0,0,90.91,23.53,0.53,62.03,0,0,0,0,0,0,3.21,1.6,0,0
縣市立,屏東縣,568,99,3,335,7,3,0,0,0,0,11,22,0,0,84.51,17.43,0.53,58.98,1.23,0.53,0,0,0,0,1.94,3.87,0,0
縣市立,臺東縣,14,2,0,3,0,0,0,0,0,0,0,0,0,0,35.71,14.29,0,21.43,0,0,0,0,0,0,0,0,0,0
縣市立,花蓮縣,43,19,2,9,0,0,0,0,0,0,0,0,0,0,69.77,44.19,4.65,20.93,0,0,0,0,0,0,0,0,0,0
縣市立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,基隆市,371,83,0,235,27,0,0,0,0,0,1,11,1,0,96.5,22.37,0,63.34,7.28,0,0,0,0,0,0.27,2.96,0.27,0
縣市立,新竹市,817,213,3,568,3,0,0,0,2,0,2,6,1,0,97.67,26.07,0.37,69.52,0.37,0,0,0,0.24,0,0.24,0.73,0.12,0
縣市立,嘉義市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,新北市,16040,813,82,10104,1199,16,39,148,153,4,8,64,211,26,80.22,5.07,0.51,62.99,7.48,0.1,0.24,0.92,0.95,0.02,0.05,0.4,1.32,0.16
私立,臺北市,15262,1368,302,10849,828,21,4,81,73,1,4,52,158,3,90.05,8.96,1.98,71.09,5.43,0.14,0.03,0.53,0.48,0.01,0.03,0.34,1.04,0.02
私立,臺中市,19405,2404,481,12323,1616,46,60,64,43,6,13,99,216,22,89.63,12.39,2.48,63.5,8.33,0.24,0.31,0.33,0.22,0.03,0.07,0.51,1.11,0.11
私立,臺南市,10523,1445,19,5426,1155,9,1,12,52,13,71,114,24,16,79.42,13.73,0.18,51.56,10.98,0.09,0.01,0.11,0.49,0.12,0.67,1.08,0.23,0.15
私立,高雄市,15094,988,257,6584,1728,68,31,115,49,2,15,146,80,27,66.85,6.55,1.7,43.62,11.45,0.45,0.21,0.76,0.32,0.01,0.1,0.97,0.53,0.18
私立,宜蘭縣,413,55,0,326,3,0,0,0,0,0,1,1,1,0,93.7,13.32,0,78.93,0.73,0,0,0,0,0,0.24,0.24,0.24,0
私立,桃園縣,14221,1372,183,8941,848,43,71,47,33,2,8,136,20,35,82.55,9.65,1.29,62.87,5.96,0.3,0.5,0.33,0.23,0.01,0.06,0.96,0.14,0.25
私立,新竹縣,2975,218,5,2000,283,2,3,6,45,0,1,8,4,3,86.66,7.33,0.17,67.23,9.51,0.07,0.1,0.2,1.51,0,0.03,0.27,0.13,0.1
私立,苗栗縣,2623,142,44,1220,240,0,3,14,67,0,5,16,2,7,67.1,5.41,1.68,46.51,9.15,0,0.11,0.53,2.55,0,0.19,0.61,0.08,0.27
私立,彰化縣,5037,237,27,2486,562,1,2,9,31,0,7,11,5,2,67.1,4.71,0.54,49.35,11.16,0.02,0.04,0.18,0.62,0,0.14,0.22,0.1,0.04
私立,南投縣,1251,49,3,580,200,0,16,0,30,0,0,3,32,0,72.98,3.92,0.24,46.36,15.99,0,1.28,0,2.4,0,0,0.24,2.56,0
私立,雲林縣,3336,461,36,1700,89,0,4,12,12,0,5,26,10,9,70.86,13.82,1.08,50.96,2.67,0,0.12,0.36,0.36,0,0.15,0.78,0.3,0.27
私立,嘉義縣,2268,219,13,859,132,0,5,0,22,0,2,24,6,24,57.58,9.66,0.57,37.87,5.82,0,0.22,0,0.97,0,0.09,1.06,0.26,1.06
私立,屏東縣,2388,115,67,1245,76,3,1,2,0,2,0,34,1,0,64.74,4.82,2.81,52.14,3.18,0.13,0.04,0.08,0,0.08,0,1.42,0.04,0
私立,臺東縣,428,21,14,217,4,2,0,0,6,1,0,5,0,0,63.08,4.91,3.27,50.7,0.93,0.47,0,0,1.4,0.23,0,1.17,0,0
私立,花蓮縣,1616,122,4,1018,21,0,1,1,0,0,11,17,7,0,74.38,7.55,0.25,63,1.3,0,0.06,0.06,0,0,0.68,1.05,0.43,0
私立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,基隆市,1938,279,15,1445,6,0,0,0,0,1,5,9,2,0,90.92,14.4,0.77,74.56,0.31,0,0,0,0,0.05,0.26,0.46,0.1,0
私立,新竹市,2589,126,8,2004,74,0,0,1,0,1,2,11,5,0,86.21,4.87,0.31,77.4,2.86,0,0,0.04,0,0.04,0.08,0.42,0.19,0
私立,嘉義市,2924,224,31,1737,51,17,0,3,2,0,5,41,7,0,72.44,7.66,1.06,59.4,1.74,0.58,0,0.1,0.07,0,0.17,1.4,0.24,0
私立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
