學程別,學校所在地,畢業生人數,就農_林_漁_牧業人數,就礦業及土石採取業人數,就製造業人數,就電力及燃氣供應業人數,就用水供應及污染整治業人數,就營造業人數,就批發及零售業人數,就運輸及倉儲業人數,就住宿及餐飲業人數,就資訊及通訊傳播業人數,就金融及保險業人數,就不動產業人數,就專業_科學及技術服務業人數,就支援服務業人數,就公共行政及國防；強制性社會安全人數,就教育服務業人數,就醫療保健及社會工作服務業人數,就藝術_娛樂及休閒服務業人數,就其他服務業人數,就業率,就農_林_漁_牧業比率,就礦業及土石採取業比率,就製造業比率,就電力及燃氣供應業比率,就用水供應及污染整治業比率,就營造業比率,就批發及零售業比率,就運輸及倉儲業比率,就住宿及餐飲業比率,就資訊及通訊傳播業比率,就金融及保險業比率,就不動產業比率,就專業_科學及技術服務業比率,就支援服務業比率,就公共行政及國防；強制性社會安全比率,就教育服務業比率,就醫療保健及社會工作服務業比率,就藝術_娛樂及休閒服務業比率,就其他服務業比率
國立,新北市,564,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國立,臺北市,1469,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0
國立,桃園市,7535,0,0,28,2,1,6,9,1,35,5,0,1,17,40,3,1,1,1,15,2.2,0,0,0.37,0.03,0.01,0.08,0.12,0.01,0.46,0.07,0,0.01,0.23,0.53,0.04,0.01,0.01,0.01,0.2
國立,臺中市,12327,12,2,141,8,1,53,46,25,136,8,6,1,73,54,17,3,11,27,175,6.48,0.1,0.02,1.14,0.06,0.01,0.43,0.37,0.2,1.1,0.06,0.05,0.01,0.59,0.44,0.14,0.02,0.09,0.22,1.42
國立,臺南市,11060,10,3,158,15,0,22,54,17,138,4,8,2,36,53,82,1,8,23,54,6.22,0.09,0.03,1.43,0.14,0,0.2,0.49,0.15,1.25,0.04,0.07,0.02,0.33,0.48,0.74,0.01,0.07,0.21,0.49
國立,高雄市,4878,5,2,50,2,1,2,4,6,54,1,1,1,5,8,45,0,3,3,68,5.35,0.1,0.04,1.03,0.04,0.02,0.04,0.08,0.12,1.11,0.02,0.02,0.02,0.1,0.16,0.92,0,0.06,0.06,1.39
國立,宜蘭縣,4334,17,0,39,7,0,20,35,5,145,5,9,3,3,22,39,1,6,56,85,11.47,0.39,0,0.9,0.16,0,0.46,0.81,0.12,3.35,0.12,0.21,0.07,0.07,0.51,0.9,0.02,0.14,1.29,1.96
國立,新竹縣,1570,0,0,1,1,0,0,0,0,6,0,0,0,9,6,1,1,0,0,5,1.91,0,0,0.06,0.06,0,0,0,0,0.38,0,0,0,0.57,0.38,0.06,0.06,0,0,0.32
國立,苗栗縣,3196,7,1,21,1,0,5,13,7,43,1,3,1,18,14,24,1,5,16,14,6.1,0.22,0.03,0.66,0.03,0,0.16,0.41,0.22,1.35,0.03,0.09,0.03,0.56,0.44,0.75,0.03,0.16,0.5,0.44
國立,彰化縣,9230,10,7,189,7,4,40,68,14,122,6,3,0,33,37,12,3,6,55,81,7.55,0.11,0.08,2.05,0.08,0.04,0.43,0.74,0.15,1.32,0.07,0.03,0,0.36,0.4,0.13,0.03,0.07,0.6,0.88
國立,南投縣,3824,44,0,23,2,0,16,26,2,115,0,2,0,24,18,37,1,4,35,33,9.99,1.15,0,0.6,0.05,0,0.42,0.68,0.05,3.01,0,0.05,0,0.63,0.47,0.97,0.03,0.1,0.92,0.86
國立,雲林縣,3701,39,1,33,6,1,20,31,3,47,3,0,3,25,7,48,0,2,23,12,8.21,1.05,0.03,0.89,0.16,0.03,0.54,0.84,0.08,1.27,0.08,0,0.08,0.68,0.19,1.3,0,0.05,0.62,0.32
國立,嘉義縣,1080,1,0,34,0,0,3,5,2,12,2,0,0,17,0,26,0,1,0,20,11.39,0.09,0,3.15,0,0,0.28,0.46,0.19,1.11,0.19,0,0,1.57,0,2.41,0,0.09,0,1.85
國立,屏東縣,4437,26,1,35,8,0,28,28,12,107,7,3,0,83,10,109,1,2,21,51,11.99,0.59,0.02,0.79,0.18,0,0.63,0.63,0.27,2.41,0.16,0.07,0,1.87,0.23,2.46,0.02,0.05,0.47,1.15
國立,臺東縣,1523,14,0,2,3,0,5,45,11,63,2,0,0,3,5,41,0,3,1,22,14.45,0.92,0,0.13,0.2,0,0.33,2.95,0.72,4.14,0.13,0,0,0.2,0.33,2.69,0,0.2,0.07,1.44
國立,花蓮縣,2240,12,2,24,6,3,14,33,7,88,1,1,1,39,20,107,2,9,14,32,18.53,0.54,0.09,1.07,0.27,0.13,0.63,1.47,0.31,3.93,0.04,0.04,0.04,1.74,0.89,4.78,0.09,0.4,0.63,1.43
國立,澎湖縣,915,1,0,1,3,0,2,24,5,45,1,0,1,2,1,30,0,4,3,22,15.85,0.11,0,0.11,0.33,0,0.22,2.62,0.55,4.92,0.11,0,0.11,0.22,0.11,3.28,0,0.44,0.33,2.4
國立,基隆市,2500,0,0,3,2,1,7,49,5,60,1,2,1,7,7,1,1,4,6,18,7,0,0,0.12,0.08,0.04,0.28,1.96,0.2,2.4,0.04,0.08,0.04,0.28,0.28,0.04,0.04,0.16,0.24,0.72
國立,新竹市,2880,0,2,6,0,0,3,3,3,20,0,0,0,1,0,0,1,1,3,6,1.7,0,0.07,0.21,0,0,0.1,0.1,0.1,0.69,0,0,0,0.03,0,0,0.03,0.03,0.1,0.21
國立,嘉義市,4033,3,4,7,4,0,8,15,2,55,2,1,1,23,2,13,0,3,1,41,4.59,0.07,0.1,0.17,0.1,0,0.2,0.37,0.05,1.36,0.05,0.02,0.02,0.57,0.05,0.32,0,0.07,0.02,1.02
國立,金門縣,599,1,1,0,0,2,0,0,6,12,2,1,0,0,0,14,0,0,2,17,9.68,0.17,0.17,0,0,0.33,0,0,1,2,0.33,0.17,0,0,0,2.34,0,0,0.33,2.84
國立,連江縣,129,0,0,0,1,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,5.43,0,0,0,0.78,0,0,0,0,2.33,0,0,0,0,0,2.33,0,0,0,0
縣市立,新北市,13276,1,0,141,8,0,29,33,19,95,10,2,4,19,36,5,6,21,32,131,4.46,0.01,0,1.06,0.06,0,0.22,0.25,0.14,0.72,0.08,0.02,0.03,0.14,0.27,0.04,0.05,0.16,0.24,0.99
