設立別,學校所在地別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,"升學率
",公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
國立,新北市,477,117,4,289,10,0,0,0,0,0,1,4,42,0,97.9,24.53,0.84,60.59,2.1,0,0,0,0,0,0.21,0.84,8.81,0
國立,臺北市,1295,911,0,270,0,0,0,0,0,3,0,5,54,0,95.98,70.35,0,20.85,0,0,0,0,0,0.23,0,0.39,4.17,0
國立,桃園市,6439,2911,68,2889,41,10,16,0,1,2,14,54,48,4,94.08,45.21,1.06,44.87,0.64,0.16,0.25,0,0.02,0.03,0.22,0.84,0.75,0.06
國立,臺中市,1523,790,17,393,64,0,0,0,0,0,1,10,8,0,84.24,51.87,1.12,25.8,4.2,0,0,0,0,0,0.07,0.66,0.53,0
國立,臺南市,9963,3609,148,4417,378,39,1,3,2,2,49,107,30,2,88.2,36.22,1.49,44.33,3.79,0.39,0.01,0.03,0.02,0.02,0.49,1.07,0.3,0.02
國立,高雄市,4265,1621,174,1710,124,3,3,2,0,1,33,60,19,5,88.04,38.01,4.08,40.09,2.91,0.07,0.07,0.05,0,0.02,0.77,1.41,0.45,0.12
國立,宜蘭縣,3716,690,43,2240,44,8,8,1,0,4,20,19,8,0,83.02,18.57,1.16,60.28,1.18,0.22,0.22,0.03,0,0.11,0.54,0.51,0.22,0
國立,新竹縣,1493,582,7,816,12,0,0,0,0,0,6,6,4,0,95.98,38.98,0.47,54.66,0.8,0,0,0,0,0,0.4,0.4,0.27,0
國立,苗栗縣,2909,576,185,1728,69,4,6,0,0,2,12,39,1,0,90.13,19.8,6.36,59.4,2.37,0.14,0.21,0,0,0.07,0.41,1.34,0.03,0
國立,彰化縣,8381,2838,129,3744,313,38,20,7,21,5,66,81,7,6,86.8,33.86,1.54,44.67,3.73,0.45,0.24,0.08,0.25,0.06,0.79,0.97,0.08,0.07
國立,南投縣,3205,667,104,1603,154,13,3,2,0,3,50,100,4,1,84.37,20.81,3.24,50.02,4.8,0.41,0.09,0.06,0,0.09,1.56,3.12,0.12,0.03
國立,雲林縣,3421,905,249,1571,56,4,2,1,0,4,30,46,1,0,83.86,26.45,7.28,45.92,1.64,0.12,0.06,0.03,0,0.12,0.88,1.34,0.03,0
國立,嘉義縣,892,114,36,471,33,0,0,0,0,0,13,19,1,0,77.02,12.78,4.04,52.8,3.7,0,0,0,0,0,1.46,2.13,0.11,0
國立,屏東縣,3850,984,168,1571,58,11,0,13,1,1,75,140,3,0,78.57,25.56,4.36,40.81,1.51,0.29,0,0.34,0.03,0.03,1.95,3.64,0.08,0
國立,臺東縣,1238,305,7,571,10,16,6,0,0,2,13,13,1,1,76.33,24.64,0.57,46.12,0.81,1.29,0.48,0,0,0.16,1.05,1.05,0.08,0.08
