設立別,學校所在地別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,"出版_影音製作_傳播及資通訊人數
服務業",金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,"出版_影音製作_傳播及資通訊比率
服務業",金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
國立,新北市,477,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0.63
國立,臺北市,1295,1,0,1,0,0,0,0,0,5,0,0,0,1,0,4,0,0,2,2,1.24,0.08,0,0.08,0,0,0,0,0,0.39,0,0,0,0.08,0,0.31,0,0,0.15,0.15
國立,桃園市,6439,0,0,35,3,0,8,13,10,38,5,0,0,10,16,5,3,0,16,30,2.98,0,0,0.54,0.05,0,0.12,0.2,0.16,0.59,0.08,0,0,0.16,0.25,0.08,0.05,0,0.25,0.47
國立,臺中市,1523,8,0,2,3,0,2,3,2,103,0,1,0,0,2,0,0,4,3,14,9.65,0.53,0,0.13,0.2,0,0.13,0.2,0.13,6.76,0,0.07,0,0,0.13,0,0,0.26,0.2,0.92
國立,臺南市,9963,19,1,188,7,1,26,33,6,88,7,6,2,57,58,51,1,9,39,86,6.88,0.19,0.01,1.89,0.07,0.01,0.26,0.33,0.06,0.88,0.07,0.06,0.02,0.57,0.58,0.51,0.01,0.09,0.39,0.86
國立,高雄市,4265,16,1,48,10,0,16,21,15,81,3,1,0,13,0,52,1,1,6,16,7.06,0.38,0.02,1.13,0.23,0,0.38,0.49,0.35,1.9,0.07,0.02,0,0.3,0,1.22,0.02,0.02,0.14,0.38
國立,宜蘭縣,3716,7,4,84,8,0,21,50,2,126,2,2,2,6,6,16,3,3,2,37,10.25,0.19,0.11,2.26,0.22,0,0.57,1.35,0.05,3.39,0.05,0.05,0.05,0.16,0.16,0.43,0.08,0.08,0.05,1
國立,新竹縣,1493,0,0,3,0,0,1,0,0,14,3,0,0,0,0,2,0,0,1,8,2.14,0,0,0.2,0,0,0.07,0,0,0.94,0.2,0,0,0,0,0.13,0,0,0.07,0.54
國立,苗栗縣,2909,7,0,16,0,0,9,13,3,47,1,3,0,9,3,11,0,2,23,24,5.88,0.24,0,0.55,0,0,0.31,0.45,0.1,1.62,0.03,0.1,0,0.31,0.1,0.38,0,0.07,0.79,0.83
國立,彰化縣,8381,25,5,282,7,0,25,60,14,106,3,3,0,31,45,6,6,7,63,67,9.01,0.3,0.06,3.36,0.08,0,0.3,0.72,0.17,1.26,0.04,0.04,0,0.37,0.54,0.07,0.07,0.08,0.75,0.8
國立,南投縣,3205,23,0,33,6,0,10,45,4,68,2,1,0,20,18,22,0,1,15,31,9.33,0.72,0,1.03,0.19,0,0.31,1.4,0.12,2.12,0.06,0.03,0,0.62,0.56,0.69,0,0.03,0.47,0.97
國立,雲林縣,3421,36,4,65,1,1,4,21,4,65,0,2,1,21,3,60,0,0,6,56,10.23,1.05,0.12,1.9,0.03,0.03,0.12,0.61,0.12,1.9,0,0.06,0.03,0.61,0.09,1.75,0,0,0.18,1.64
