設立別,學校所在地別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版_影音製作_傳播及資通訊服務業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版_影音製作_傳播及資通訊服務業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
國立,新北市,442,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1.36,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0.23
國立,臺北市,1317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.08
國立,桃園市,1555,0,0,18,0,0,3,2,3,14,0,0,0,20,20,0,0,0,0,3,5.34,0,0,1.16,0,0,0.19,0.13,0.19,0.9,0,0,0,1.29,1.29,0,0,0,0,0.19
國立,臺中市,1427,1,0,6,1,4,3,11,6,37,0,0,0,6,1,15,0,0,1,1,6.52,0.07,0,0.42,0.07,0.28,0.21,0.77,0.42,2.59,0,0,0,0.42,0.07,1.05,0,0,0.07,0.07
國立,臺南市,9197,12,0,125,10,2,27,32,11,128,9,3,2,31,50,101,0,0,18,40,6.53,0.13,0,1.36,0.11,0.02,0.29,0.35,0.12,1.39,0.1,0.03,0.02,0.34,0.54,1.1,0,0,0.2,0.43
國立,高雄市,4080,10,1,67,1,0,6,9,4,32,3,1,1,20,14,50,1,2,16,22,6.37,0.25,0.02,1.64,0.02,0,0.15,0.22,0.1,0.78,0.07,0.02,0.02,0.49,0.34,1.23,0.02,0.05,0.39,0.54
國立,宜蘭縣,3202,8,0,20,4,5,12,23,10,102,4,4,2,6,22,31,0,0,12,36,9.4,0.25,0,0.62,0.12,0.16,0.37,0.72,0.31,3.19,0.12,0.12,0.06,0.19,0.69,0.97,0,0,0.37,1.12
國立,新竹縣,1446,2,0,0,0,0,0,3,0,5,0,1,0,0,9,2,1,0,2,5,2.07,0.14,0,0,0,0,0,0.21,0,0.35,0,0.07,0,0,0.62,0.14,0.07,0,0.14,0.35
國立,苗栗縣,2763,7,0,20,3,0,7,10,1,23,0,0,0,4,7,53,0,1,8,11,5.61,0.25,0,0.72,0.11,0,0.25,0.36,0.04,0.83,0,0,0,0.14,0.25,1.92,0,0.04,0.29,0.4
國立,彰化縣,8103,25,1,171,16,2,40,60,12,137,8,0,2,34,38,17,0,7,21,71,8.17,0.31,0.01,2.11,0.2,0.02,0.49,0.74,0.15,1.69,0.1,0,0.02,0.42,0.47,0.21,0,0.09,0.26,0.88
國立,南投縣,2893,43,0,41,5,0,12,26,7,67,0,2,0,9,15,76,0,3,6,22,11.55,1.49,0,1.42,0.17,0,0.41,0.9,0.24,2.32,0,0.07,0,0.31,0.52,2.63,0,0.1,0.21,0.76
國立,雲林縣,3183,31,0,48,1,4,31,45,12,52,2,0,0,1,6,37,0,3,13,5,9.14,0.97,0,1.51,0.03,0.13,0.97,1.41,0.38,1.63,0.06,0,0,0.03,0.19,1.16,0,0.09,0.41,0.16
國立,嘉義縣,854,13,0,11,1,1,4,9,2,21,0,0,0,12,3,23,0,1,4,9,13.35,1.52,0,1.29,0.12,0.12,0.47,1.05,0.23,2.46,0,0,0,1.41,0.35,2.69,0,0.12,0.47,1.05
