設立別,學校所在地別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版影音及資通訊業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版影音及資通訊業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
國立,新北市,422,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.47,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0.24,0
國立,臺北市,1232,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.65,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0
國立,桃園市,1400,1,0,8,1,0,4,6,0,17,0,0,0,20,7,6,0,0,1,9,5.71,0.07,0,0.57,0.07,0,0.29,0.43,0,1.21,0,0,0,1.43,0.5,0.43,0,0,0.07,0.64
國立,臺中市,1365,2,0,2,0,0,3,4,0,21,3,0,0,7,3,12,0,1,10,3,5.2,0.15,0,0.15,0,0,0.22,0.29,0,1.54,0.22,0,0,0.51,0.22,0.88,0,0.07,0.73,0.22
國立,臺南市,8567,28,0,91,12,3,34,25,7,78,4,4,0,21,46,132,3,5,25,43,6.55,0.33,0,1.06,0.14,0.04,0.4,0.29,0.08,0.91,0.05,0.05,0,0.25,0.54,1.54,0.04,0.06,0.29,0.5
國立,高雄市,3831,10,0,52,1,3,12,9,6,39,0,0,1,17,8,34,0,7,8,28,6.13,0.26,0,1.36,0.03,0.08,0.31,0.23,0.16,1.02,0,0,0.03,0.44,0.21,0.89,0,0.18,0.21,0.73
國立,宜蘭縣,3063,4,1,38,22,1,10,38,11,79,0,0,2,12,8,26,3,8,19,24,9.99,0.13,0.03,1.24,0.72,0.03,0.33,1.24,0.36,2.58,0,0,0.07,0.39,0.26,0.85,0.1,0.26,0.62,0.78
國立,新竹縣,1418,0,0,1,2,0,3,6,1,2,0,0,0,0,3,8,0,0,0,8,2.4,0,0,0.07,0.14,0,0.21,0.42,0.07,0.14,0,0,0,0,0.21,0.56,0,0,0,0.56
國立,苗栗縣,2502,4,0,49,3,0,4,12,4,24,0,1,0,1,0,25,2,0,13,9,6.04,0.16,0,1.96,0.12,0,0.16,0.48,0.16,0.96,0,0.04,0,0.04,0,1,0.08,0,0.52,0.36
國立,彰化縣,7608,32,8,161,11,2,45,67,15,117,2,2,1,27,24,15,0,6,20,64,8.14,0.42,0.11,2.12,0.14,0.03,0.59,0.88,0.2,1.54,0.03,0.03,0.01,0.35,0.32,0.2,0,0.08,0.26,0.84
