設立別,學校所在地別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立,新北市,422,0,0,0,1,0,0,0,0,0,0,0.24,0,0,0
國立,臺北市,1232,4,5,0,19,0,0,1,0.32,0.41,0,1.54,0,0,0.08
國立,桃園市,1400,3,13,3,10,0,0,2,0.21,0.93,0.21,0.71,0,0,0.14
國立,臺中市,1365,3,6,21,9,1,0,1,0.22,0.44,1.54,0.66,0.07,0,0.07
國立,臺南市,8567,16,80,81,88,28,1,22,0.19,0.93,0.95,1.03,0.33,0.01,0.26
國立,高雄市,3831,6,34,11,53,2,2,6,0.16,0.89,0.29,1.38,0.05,0.05,0.16
國立,宜蘭縣,3063,4,27,26,18,7,0,29,0.13,0.88,0.85,0.59,0.23,0,0.95
國立,新竹縣,1418,2,1,7,2,0,0,15,0.14,0.07,0.49,0.14,0,0,1.06
國立,苗栗縣,2502,0,6,14,13,2,0,4,0,0.24,0.56,0.52,0.08,0,0.16
國立,彰化縣,7608,18,55,54,40,4,1,14,0.24,0.72,0.71,0.53,0.05,0.01,0.18
國立,南投縣,2679,5,32,27,20,1,0,12,0.19,1.19,1.01,0.75,0.04,0,0.45
國立,雲林縣,2930,8,30,27,22,5,0,7,0.27,1.02,0.92,0.75,0.17,0,0.24
國立,嘉義縣,819,2,4,13,10,0,0,8,0.24,0.49,1.59,1.22,0,0,0.98
國立,屏東縣,3244,9,27,48,40,2,2,11,0.28,0.83,1.48,1.23,0.06,0.06,0.34
國立,臺東縣,1186,1,11,1,10,0,0,3,0.08,0.93,0.08,0.84,0,0,0.25
國立,花蓮縣,1561,2,10,22,12,4,0,4,0.13,0.64,1.41,0.77,0.26,0,0.26
國立,澎湖縣,651,5,6,12,6,4,1,6,0.77,0.92,1.84,0.92,0.61,0.15,0.92
國立,基隆市,1162,5,5,10,2,1,1,5,0.43,0.43,0.86,0.17,0.09,0.09,0.43
國立,新竹市,2555,2,0,4,27,0,1,3,0.08,0,0.16,1.06,0,0.04,0.12
國立,嘉義市,3327,7,12,28,42,1,2,20,0.21,0.36,0.84,1.26,0.03,0.06,0.6
國立,金門縣,474,1,19,2,2,0,0,16,0.21,4.01,0.42,0.42,0,0,3.38
國立,連江縣,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,新北市,11774,15,46,43,137,29,4,140,0.13,0.39,0.37,1.16,0.25,0.03,1.19
縣市立,臺北市,17831,8,22,30,147,7,8,9,0.04,0.12,0.17,0.82,0.04,0.04,0.05
