學程別,設立別,性別,畢業生人數,升公立大學日間部人數,升公立大學進修學士班人數,升私立大學日間部人數,升私立大學進修學士班人數,升公立二專日間部人數,升公立二專夜間部人數,升私立二專日間部人數,升私立二專夜間部人數,升警察大學人數,升警察專科學校人數,升軍事院校人數,赴國外_大陸就讀人數,升其他學校人數,升學率,升公立大學日間部比率,升公立大學進修學士班比率,升私立大學日間部比率,升私立大學進修學士班比率,升公立二專日間部比率,升公立二專夜間部比率,升私立二專日間部比率,升私立二專夜間部比率,升警察大學比率,升警察專科學校比率,升軍事院校比率,赴國外_大陸就讀比率,升其他學校比率
普通科,國立,男,17434,8330,28,7338,89,0,0,1,1,36,367,324,126,4,95.4686245268,47.78019961,0.160605713,42.090168636,0.5104967305,0,0,0.0057359183,0.0057359183,0.2064930595,2.1050820236,1.8584375358,0.7227257084,0.0229436733
普通科,國立,女,16833,7403,45,8667,52,0,1,5,2,12,40,134,100,3,97.8078773837,43.9790886948,0.2673320264,51.4881482802,0.3089170083,0,0.0059407117,0.0297035585,0.0118814234,0.0712885404,0.2376284679,0.7960553674,0.5940711697,0.0178221351
普通科,縣市立,男,19983,7768,64,10565,138,9,1,3,0,28,189,255,77,0,95.5662312966,38.8730420858,0.3202722314,52.8699394485,0.6905869989,0.0450382825,0.0050042536,0.0150127608,0,0.1401191012,0.9458039333,1.276084672,0.3853275284,0
普通科,縣市立,女,20770,7432,59,12407,110,2,0,2,0,5,35,87,145,2,97.6697159364,35.7823784304,0.2840635532,59.7351949928,0.5296100144,0.009629273,0,0.009629273,0,0.0240731825,0.1685122773,0.4188733751,0.6981222918,0.009629273
普通科,私立,男,14248,3200,35,9337,346,4,0,1,1,11,130,218,254,11,95.0870297586,22.4592925323,0.2456485121,65.5320044919,2.4284110051,0.0280741157,0,0.0070185289,0.0070185289,0.0772038181,0.9124087591,1.5300393038,1.7827063448,0.0772038181
普通科,私立,女,14270,2899,37,10299,301,0,0,2,0,5,11,46,304,9,97.4982480729,20.3153468816,0.2592852137,72.1723896286,2.1093202523,0,0,0.014015417,0,0.0350385424,0.0770847933,0.32235459,2.1303433777,0.0630693763
職業科,國立,男,17529,5311,909,7678,590,94,13,35,16,1,10,322,2,9,85.5154315705,30.2983627132,5.1856922814,43.8017000399,3.3658508757,0.5362542073,0.0741628159,0.1996691197,0.0912773119,0.005704832,0.0570483199,1.8369559016,0.011409664,0.0513434879
職業科,國立,女,13108,4118,686,6680,271,43,10,24,5,0,2,85,11,5,91.0894110467,31.4159292035,5.2334452243,50.9612450412,2.0674397315,0.3280439426,0.076289289,0.1830942936,0.0381446445,0,0.0152578578,0.6484589564,0.0839182179,0.0381446445
職業科,縣市立,男,6915,2622,148,3363,257,15,5,0,8,0,4,38,3,2,93.4924078091,37.9175704989,2.140274765,48.6334056399,3.7165582068,0.2169197397,0.0723065799,0,0.1156905278,0,0.0578452639,0.5495300072,0.0433839479,0.028922632
職業科,縣市立,女,4057,1412,159,2128,108,4,1,0,2,0,0,8,7,2,94.4293813162,34.8040423959,3.9191520828,52.4525511462,2.6620655657,0.098595021,0.0246487552,0,0.0492975105,0,0,0.1971900419,0.1725412867,0.0492975105
職業科,私立,男,37205,1665,641,19359,3728,69,89,212,205,7,10,329,71,58,71.0737804059,4.4752049456,1.7228867088,52.0333288536,10.0201585808,0.1854589437,0.2392151593,0.569815885,0.5510012095,0.0188146754,0.0268781078,0.884289746,0.1908345652,0.1558930251
職業科,私立,女,34965,1751,725,21731,3300,94,110,266,240,8,3,118,98,65,81.5358215358,5.0078650079,2.0735020735,62.1507221507,9.438009438,0.2688402688,0.3146003146,0.7607607608,0.6864006864,0.0228800229,0.0085800086,0.3374803375,0.2802802803,0.1859001859
綜合高中,國立,男,4895,1113,70,2912,90,9,0,1,1,2,79,117,5,17,90.2145045965,22.7374872319,1.4300306435,59.4892747702,1.8386108274,0.1838610827,0,0.0204290092,0.0204290092,0.0408580184,1.6138917263,2.3901940756,0.102145046,0.3472931563
綜合高中,國立,女,5833,1196,98,4081,106,5,1,4,0,0,3,27,15,8,95.0454311675,20.5040288016,1.6800960055,69.9639979427,1.8172466998,0.085719184,0.0171438368,0.0685753472,0,0,0.0514315104,0.4628835933,0.2571575519,0.1371506943
綜合高中,縣市立,男,1829,513,11,1159,14,3,0,1,0,0,11,12,4,2,94.5872061236,28.0481137233,0.6014215418,63.3679606342,0.7654455987,0.1640240569,0,0.0546746856,0,0,0.6014215418,0.6560962274,0.2186987425,0.1093493712
綜合高中,縣市立,女,1928,424,15,1398,27,0,0,0,0,0,0,6,1,0,97.0435684647,21.9917012448,0.7780082988,72.510373444,1.4004149378,0,0,0,0,0,0,0.3112033195,0.0518672199,0
