學程別	設立別	畢業生人數	升公立大學日間部人數	升公立大學進修學士班人數	升私立大學日間部人數	升私立大學進修學士班人數	升公立二專日間部人數	升公立二專夜間部人數	升私立二專日間部人數	升私立二專夜間部人數	升警大_警專_軍校人數	赴國外_大陸就讀人數	升其他學校人數	就農_林_漁_牧業人數	就礦業及土石採取業人數	就製造業人數	就電力及燃氣供應業人數	就用水供應及污染整治業人數	就營造業人數	就批發及零售業人數	就運輸及倉儲業人數	就住宿及餐飲業人數	就資訊及通訊傳播業人數	就金融及保險業人數	就不動產業人數	就專業_科學及技術服務業人數	就支援服務業人數	就公共行政及國防；強制性社會安全人數	就教育服務業人數	就醫療保健及社會工作服務業人數	就藝術_娛樂及休閒服務業人數	就其他服務業人數	正在接受職業訓練人數	正在軍中服役人數	需要工作而未找到人數	補習或準備升學人數	健康不良在家休養人數	準備出國人數	其他人數
普通科	國立	34986	16622	89	15794	125	0	0	1	1	903	221	2	6	1	10	1	0	5	10	3	51	0	0	0	9	17	122	1	0	5	26	2	103	13	731	4	10	23
普通科	縣市立	41676	15154	125	23784	284	4	0	10	1	535	184	14	6	0	31	2	1	13	29	2	82	0	1	0	9	22	95	6	4	18	34	21	210	34	778	12	24	44
普通科	私立	28447	6136	135	19250	567	10	15	69	11	465	683	15	5	0	12	0	1	8	10	6	72	17	12	0	17	16	41	2	4	16	22	11	116	8	581	3	24	15
專業群(職業)科	國立	30740	9531	1295	14272	839	129	26	17	24	455	20	18	116	5	323	27	5	75	176	50	540	18	6	5	209	112	370	2	33	89	251	115	631	308	242	31	8	148
專業群(職業)科	縣市立	11246	3962	225	6025	253	20	0	4	1	59	15	2	3	0	30	2	0	13	19	7	70	7	2	0	26	58	1	3	6	14	71	10	69	26	127	7	5	48
專業群(職業)科	私立	70468	3518	1175	39738	6642	297	111	280	436	426	166	103	205	29	1305	139	17	338	804	339	3824	219	58	11	1266	353	607	57	62	636	1704	239	2133	1567	495	152	105	375
綜合高中	國立	9970	2278	160	6299	146	19	0	2	0	216	36	28	12	0	21	5	2	14	20	10	82	5	2	0	16	19	96	1	7	35	24	10	124	34	146	3	2	34
綜合高中	縣市立	3520	872	38	2338	60	5	0	0	0	34	7	2	2	0	2	2	0	4	2	1	14	0	0	1	0	8	12	0	0	3	7	0	18	4	68	1	3	2
綜合高中	私立	10144	1036	110	7455	414	9	4	7	3	98	78	5	9	1	39	6	0	17	39	20	146	6	1	0	42	40	60	5	2	31	57	10	195	57	68	9	10	35
實用技能學程	國立	3416	135	184	1258	465	26	10	13	11	36	2	2	21	4	130	15	1	39	76	21	240	7	2	2	91	42	41	5	7	42	115	14	179	80	15	7	1	20
實用技能學程	縣市立	401	11	13	104	100	0	0	0	2	1	0	0	2	0	49	1	0	5	11	2	11	2	0	0	11	9	0	0	1	5	8	0	14	4	19	1	0	3
實用技能學程	私立	8487	62	65	2470	1087	34	24	67	143	76	10	17	76	0	371	46	5	119	219	89	1088	42	9	6	466	117	116	6	14	165	379	55	374	408	34	31	3	108
進修部(學校)	國立	4912	99	322	664	963	10	17	11	43	19	2	29	47	16	313	30	6	121	206	49	393	21	30	9	93	129	23	8	26	119	355	11	280	165	35	13	9	79
進修部(學校)	縣市立	1558	28	61	338	366	2	1	0	13	2	1	6	10	1	109	8	0	20	31	14	65	13	4	5	22	12	7	5	18	26	118	5	25	21	11	2	1	106
進修部(學校)	私立	12592	57	87	811	1545	15	36	64	360	20	18	24	98	26	777	89	24	294	699	248	1897	276	116	57	604	383	60	24	95	638	1182	75	603	623	90	53	33	255
																																							
													96.49002458																			0.763162408							2.532441548
													96.20644976																			0.851809195							2.69459641
													96.16479769																			0.917495694							2.664604352
													86.61678595																			7.846454131							4.824333116
													93.95340566																			2.952160768							2.596478748
													75.05818244																			16.99069081							7.189078731
													92.11634905																			3.72116349							3.540621866
													95.34090909																			1.647727273							2.727272727
													90.88130915																			5.136041009							3.785488959
													62.70491803																			26.37587822							9.25058548
													57.60598504																			29.17705736							10.2244389
													47.77895605																			39.2718275							11.93590197
													44.36074919																			40.59446254							12.05211726
													52.50320924																			31.32220796							10.97560976
													24.11848793																			60.2525413							13.75476493
