學程別,設立別,性別,畢業生人數,就農_林_漁_牧業人數,就礦業及土石採取業人數,就製造業人數,就電力及燃氣供應業人數,就用水供應及污染整治業人數,就營造業人數,就批發及零售業人數,就運輸及倉儲業人數,就住宿及餐飲業人數,就資訊及通訊傳播業人數,就金融及保險業人數,就不動產業人數,就專業_科學及技術服務業人數,就支援服務業人數,就公共行政及國防；強制性社會安全人數,就教育服務業人數,就醫療保健及社會工作服務業人數,就藝術_娛樂及休閒服務業人數,就其他服務業人數,"就業率
",就農_林_漁_牧業比率,就礦業及土石採取業比率,就製造業比率,就電力及燃氣供應業比率,就用水供應及污染整治業比率,就營造業比率,就批發及零售業比率,就運輸及倉儲業比率,就住宿及餐飲業比率,就資訊及通訊傳播業比率,就金融及保險業比率,就不動產業比率,就專業_科學及技術服務業比率,就支援服務業比率,就公共行政及國防；強制性社會安全比率,就教育服務業比率,就醫療保健及社會工作服務業比率,就藝術_娛樂及休閒服務業比率,就其他服務業比率
普通科,國立,男,17951,3,1,9,1,0,5,5,3,34,0,0,0,9,12,67,0,0,2,15,0.9247395688,0.0167121609,0.0055707203,0.0501364826,0.0055707203,0,0.0278536015,0.0278536015,0.0167121609,0.18940449,0,0,0,0.0501364826,0.0668486435,0.3732382597,0,0,0.0111414406,0.0835608044
普通科,國立,女,17035,3,0,1,0,0,0,5,0,17,0,0,0,0,5,55,1,0,3,11,0.5928969768,0.0176108013,0,0.0058702671,0,0,0,0.0293513355,0,0.0997945407,0,0,0,0,0.0293513355,0.3228646903,0.0058702671,0,0.0176108013,0.0645729381
普通科,縣市立,男,20477,5,0,23,2,1,12,15,2,44,0,0,0,3,9,41,3,1,10,26,0.9620549885,0.0244176393,0,0.1123211408,0.0097670557,0.0048835279,0.0586023343,0.0732529179,0.0097670557,0.2148752259,0,0,0,0.0146505836,0.0439517507,0.2002246423,0.0146505836,0.0048835279,0.0488352786,0.1269717244
普通科,縣市立,女,21199,1,0,8,0,0,1,14,0,38,0,1,0,6,13,54,3,3,8,8,0.7453181754,0.0047172036,0,0.0377376291,0,0,0.0047172036,0.066040851,0,0.1792537384,0,0.0047172036,0,0.0283032219,0.0613236473,0.2547289967,0.0141516109,0.0141516109,0.0377376291,0.0377376291
普通科,私立,男,14483,4,0,12,0,1,8,7,6,53,11,8,0,15,15,7,0,2,11,13,1.1945039011,0.0276185873,0,0.0828557619,0,0.0069046468,0.0552371746,0.0483325278,0.041427881,0.3659462818,0.0759511151,0.0552371746,0,0.1035697024,0.1035697024,0.0483325278,0,0.0138092937,0.0759511151,0.0897604088
普通科,私立,女,13964,1,0,0,0,0,0,3,0,19,6,4,0,2,1,34,2,2,5,9,0.6301919221,0.0071612718,0,0,0,0,0,0.0214838155,0,0.136064165,0.0429676311,0.0286450874,0,0.0143225437,0.0071612718,0.2434832426,0.0143225437,0.0143225437,0.0358063592,0.0644514466
專業群(職業)科,國立,男,17555,102,4,266,25,5,72,90,47,273,11,1,3,164,81,226,1,10,45,149,8.9718029052,0.5810310453,0.0227855312,1.515237824,0.1424095699,0.028481914,0.4101395614,0.5126744517,0.2677299915,1.5551125036,0.0626602108,0.0056963828,0.0170891484,0.9342067787,0.4614070066,1.2873825121,0.0056963828,0.056963828,0.2563372259,0.8487610367
專業群(職業)科,國立,女,13185,14,1,57,2,0,3,86,3,267,7,5,2,45,31,144,1,23,44,102,6.3481228669,0.1061812666,0.0075843762,0.4323094425,0.0151687524,0,0.0227531286,0.6522563519,0.0227531286,2.0250284414,0.0530906333,0.0379218809,0.0151687524,0.3412969283,0.2351156617,1.0921501706,0.0075843762,0.1744406523,0.3337125521,0.7736063709
專業群(職業)科,縣市立,男,7015,1,0,28,2,0,13,13,7,43,3,2,0,21,37,0,1,2,5,47,3.2074126871,0.0142551675,0,0.39914469,0.028510335,0,0.1853171775,0.1853171775,0.0997861725,0.6129722024,0.0427655025,0.028510335,0,0.2993585175,0.5274411974,0,0.0142551675,0.028510335,0.0712758375,0.6699928724
專業群(職業)科,縣市立,女,4231,2,0,2,0,0,0,6,0,27,4,0,0,5,21,1,2,4,9,24,2.5289529662,0.0472701489,0,0.0472701489,0,0,0,0.1418104467,0,0.6381470102,0.0945402978,0,0,0.1181753723,0.4963365635,0.0236350745,0.0472701489,0.0945402978,0.2127156701,0.5672417868
專業群(職業)科,私立,男,36343,176,27,1041,119,14,316,395,304,2039,127,33,4,670,203,366,10,8,200,795,18.8399416669,0.484274826,0.0742921608,2.8643755331,0.3274358198,0.0385218612,0.8694934375,1.0868667969,0.8364746994,5.6104339213,0.3494483119,0.0908015299,0.011006246,1.8435462125,0.5585669868,1.0070715131,0.0275156151,0.0220124921,0.5503123022,2.1874914014
專業群(職業)科,私立,女,34125,29,2,264,20,3,22,409,35,1785,92,25,7,596,150,241,47,54,436,909,15.0212454212,0.084981685,0.0058608059,0.7736263736,0.0586080586,0.0087912088,0.0644688645,1.1985347985,0.1025641026,5.2307692308,0.2695970696,0.0732600733,0.0205128205,1.7465201465,0.4395604396,0.7062271062,0.1377289377,0.1582417582,1.2776556777,2.6637362637
綜合高中,國立,男,4612,10,0,10,3,1,14,8,3,36,1,1,0,11,14,51,0,0,13,11,4.0546400694,0.2168256722,0,0.2168256722,0.0650477016,0.0216825672,0.303555941,0.1734605377,0.0650477016,0.7805724198,0.0216825672,0.0216825672,0,0.2385082394,0.303555941,1.105810928,0,0,0.2818733738,0.2385082394
綜合高中,國立,女,5358,2,0,11,2,1,0,12,7,46,4,1,0,5,5,45,1,7,22,13,3.4341172079,0.037327361,0,0.2053004853,0.037327361,0.0186636805,0,0.2239641657,0.1306457633,0.858529302,0.0746547219,0.0186636805,0,0.0933184024,0.0933184024,0.8398656215,0.0186636805,0.1306457633,0.4106009705,0.2426278462
綜合高中,縣市立,男,1766,1,0,1,1,0,2,0,0,5,0,0,1,0,2,3,0,0,2,4,1.2457531144,0.0566251416,0,0.0566251416,0.0566251416,0,0.1132502831,0,0,0.2831257078,0,0,0.0566251416,0,0.1132502831,0.1698754247,0,0,0.1132502831,0.2265005663
綜合高中,縣市立,女,1754,1,0,1,1,0,2,2,1,9,0,0,0,0,6,9,0,0,1,3,2.0524515393,0.0570125428,0,0.0570125428,0.0570125428,0,0.1140250855,0.1140250855,0.0570125428,0.5131128848,0,0,0,0,0.3420752566,0.5131128848,0,0,0.0570125428,0.1710376283
綜合高中,私立,男,4563,7,1,25,6,0,15,12,12,60,2,0,0,11,19,6,2,1,17,31,4.9747972825,0.1534078457,0.0219154065,0.5478851633,0.1314924392,0,0.328731098,0.2629848784,0.2629848784,1.3149243918,0.0438308131,0,0,0.2410694718,0.4163927241,0.1314924392,0.0438308131,0.0219154065,0.372561911,0.6793776025
綜合高中,私立,女,5581,2,0,14,0,0,2,27,8,86,4,1,0,31,21,54,3,1,14,26,5.267873141,0.0358358717,0,0.250851102,0,0,0.0358358717,0.4837842681,0.1433434868,1.5409424834,0.0716717434,0.0179179359,0,0.5554560115,0.3762766529,0.9675685361,0.0537538076,0.0179179359,0.250851102,0.4658663322
實用技能學程,國立,男,1978,20,3,99,14,1,35,36,18,107,5,1,2,86,21,23,1,1,17,50,27.3003033367,1.0111223458,0.1516683519,5.0050556117,0.7077856421,0.0505561173,1.7694641052,1.8200202224,0.9100101112,5.4095045501,0.2527805865,0.0505561173,0.1011122346,4.347826087,1.0616784631,1.1627906977,0.0505561173,0.0505561173,0.8594539939,2.5278058645
實用技能學程,國立,女,1438,1,1,31,1,0,4,40,3,133,2,1,0,5,21,18,4,6,25,65,25.1043115438,0.0695410292,0.0695410292,2.1557719054,0.0695410292,0,0.2781641168,2.7816411683,0.2086230876,9.2489568846,0.1390820584,0.0695410292,0,0.347705146,1.4603616134,1.2517385257,0.2781641168,0.4172461752,1.7385257302,4.5201668985
實用技能學程,縣市立,男,246,2,0,46,1,0,5,8,2,6,2,0,0,5,5,0,0,1,4,4,36.9918699187,0.8130081301,0,18.6991869919,0.406504065,0,2.0325203252,3.2520325203,0.8130081301,2.4390243902,0.8130081301,0,0,2.0325203252,2.0325203252,0,0,0.406504065,1.6260162602,1.6260162602
實用技能學程,縣市立,女,155,0,0,3,0,0,0,3,0,5,0,0,0,6,4,0,0,0,1,4,16.7741935484,0,0,1.935483871,0,0,0,1.935483871,0,3.2258064516,0,0,0,3.8709677419,2.5806451613,0,0,0,0.6451612903,2.5806451613
實用技能學程,私立,男,4683,54,0,305,36,5,98,99,76,591,22,1,0,202,72,74,2,6,63,190,40.4868673927,1.1531069827,0,6.512919069,0.7687379885,0.1067691651,2.0926756353,2.1140294683,1.622891309,12.6201153107,0.4697843263,0.021353833,0,4.3134742686,1.5374759769,1.580183643,0.042707666,0.1281229981,1.3452914798,4.0572282725
實用技能學程,私立,女,3804,22,0,66,10,0,21,120,13,497,20,8,6,264,45,42,4,8,102,189,37.7760252366,0.578338591,0,1.7350157729,0.2628811777,0,0.5520504732,3.1545741325,0.341745531,13.0651945321,0.5257623554,0.2103049422,0.1577287066,6.9400630915,1.1829652997,1.1041009464,0.1051524711,0.2103049422,2.6813880126,4.9684542587
進修部(學校),國立,男,2770,34,14,238,24,6,107,85,38,168,12,10,6,64,66,11,1,5,54,176,40.3971119134,1.2274368231,0.5054151625,8.5920577617,0.8664259928,0.2166064982,3.8628158845,3.0685920578,1.3718411552,6.0649819495,0.4332129964,0.3610108303,0.2166064982,2.3104693141,2.3826714801,0.3971119134,0.036101083,0.1805054152,1.9494584838,6.3537906137
進修部(學校),國立,女,2142,13,2,75,6,0,14,121,11,225,9,20,3,29,63,12,7,21,65,179,40.8496732026,0.6069094304,0.0933706816,3.5014005602,0.2801120448,0,0.6535947712,5.6489262372,0.5135387488,10.5042016807,0.4201680672,0.9337068161,0.1400560224,1.3538748833,2.9411764706,0.5602240896,0.3267973856,0.9803921569,3.0345471522,8.3566760037
進修部(學校),縣市立,男,923,6,1,71,8,0,17,18,9,38,11,0,4,18,6,2,1,4,9,38,28.2773564464,0.6500541712,0.1083423619,7.6923076923,0.8667388949,0,1.8418201517,1.9501625135,0.9750812568,4.1170097508,1.1917659805,0,0.4333694475,1.9501625135,0.6500541712,0.2166847237,0.1083423619,0.4333694475,0.9750812568,4.1170097508
進修部(學校),縣市立,女,635,4,0,38,0,0,3,13,5,27,2,4,1,4,6,5,4,14,17,80,35.7480314961,0.6299212598,0,5.9842519685,0,0,0.4724409449,2.0472440945,0.7874015748,4.2519685039,0.3149606299,0.6299212598,0.157480315,0.6299212598,0.9448818898,0.7874015748,0.6299212598,2.2047244094,2.6771653543,12.5984251969
進修部(學校),私立,男,7077,80,18,560,56,20,257,368,208,973,159,63,34,338,197,31,5,38,280,556,59.9265225378,1.1304224954,0.2543450615,7.9129574679,0.7912957468,0.2826056239,3.6314822665,5.1999434789,2.9390984881,13.7487636004,2.2467147096,0.8902077151,0.4804295605,4.7760350431,2.7836653949,0.438038717,0.070651406,0.5369506853,3.9564787339,7.8564363431
進修部(學校),私立,女,5515,18,8,217,33,4,37,331,40,924,117,53,23,266,186,29,19,57,358,626,60.6708975521,0.3263825929,0.1450589302,3.9347234814,0.598368087,0.0725294651,0.6708975521,6.0018132366,0.725294651,16.754306437,2.121486854,0.9610154125,0.4170444243,4.8232094288,3.3726201269,0.5258386219,0.3445149592,1.0335448776,6.491387126,11.3508612874
