學程別,設立別,性別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,"升學率
",公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
普通科,國立,男,16969,8380,55,6792,40,1,0,0,0,42,414,307,108,7,95.1499793741529,49.3841711356002,0.324120454947257,40.0259296363958,0.235723967234369,0.005893099180859,0,0,0,0.247510165596087,2.43974306087571,1.80918144852378,0.636454711532795,0.041251694266015
普通科,國立,女,17103,7423,52,8877,43,1,0,0,0,11,37,127,122,1,97.6086066771911,43.401742384377,0.304040226860785,51.9031748815997,0.25141787990411,0.00584692743963,0,0,0,0.064316201835935,0.216336315266328,0.74255978483307,0.713325147634918,0.00584692743963
普通科,縣市立,男,19250,7803,73,9812,98,1,0,7,1,16,223,230,108,0,95.438961038961,40.5350649350649,0.379220779220779,50.9714285714286,0.509090909090909,0.005194805194805,0,0.036363636363636,0.005194805194805,0.083116883116883,1.15844155844156,1.19480519480519,0.561038961038961,0
普通科,縣市立,女,21017,7351,72,12733,83,1,0,2,1,6,21,94,161,14,97.7256506637484,34.9764476376267,0.342579816339154,60.5842889089784,0.394918399390969,0.00475805300471,0,0.009516106009421,0.00475805300471,0.028548318028263,0.09991911309892,0.447256982442784,0.766046533758386,0.066612742065947
普通科,私立,男,12552,3170,66,7982,155,2,11,3,13,17,117,206,304,5,96.008604206501,25.2549394518802,0.525812619502868,63.591459528362,1.23486297004461,0.015933715742511,0.087635436583811,0.023900573613767,0.103569152326322,0.135436583811345,0.932122370936903,1.64117272147865,2.4219247928617,0.039834289356278
普通科,私立,女,11733,2636,57,8233,154,2,1,8,0,5,10,69,334,2,98.1079007926362,22.466547345095,0.485809255944771,70.1696070911106,1.31253728799114,0.01704593880508,0.00852296940254,0.068183755220319,0,0.042614847012699,0.085229694025399,0.588084888775249,2.84667178044831,0.01704593880508
專業群(職業)科,國立,男,17295,5508,884,6922,519,109,10,14,7,2,22,257,17,5,82.5440878866725,31.8473547267997,5.11130384504192,40.023128071697,3.00086730268864,0.630239953743857,0.057820179242556,0.080948250939578,0.040474125469789,0.011564035848511,0.127204394333622,1.48597860653368,0.098294304712345,0.028910089621278
專業群(職業)科,國立,女,12921,4110,396,6690,235,50,22,4,8,1,2,103,13,3,90.0626886463896,31.8086835384258,3.06477826793592,51.776178314372,1.8187446792044,0.386966953022212,0.170265459329773,0.030957356241777,0.061914712483554,0.007739339060444,0.015478678120889,0.797151923225757,0.100611407785775,0.023218017181333
專業群(職業)科,縣市立,男,6896,2709,166,3107,108,28,0,1,0,0,4,45,9,29,89.9941995359629,39.2836426914153,2.40719257540603,45.0551044083527,1.5661252900232,0.406032482598608,0,0.014501160092807,0,0,0.05800464037123,0.652552204176334,0.130510440835267,0.420533642691415
專業群(職業)科,縣市立,女,4290,1419,121,2373,74,7,2,0,0,0,0,10,2,3,93.4965034965035,33.0769230769231,2.82051282051282,55.3146853146853,1.72494172494173,0.163170163170163,0.046620046620047,0,0,0,0,0.233100233100233,0.046620046620047,0.06993006993007
專業群(職業)科,私立,男,32477,1755,481,16210,3092,81,49,106,234,3,16,256,55,43,68.9133848569757,5.4038242448502,1.48104812636635,49.9122455891862,9.52058379776457,0.24940727283924,0.150876004557071,0.326384826184685,0.72050989931336,0.009237306401453,0.049265634141085,0.788250146257351,0.169350617359978,0.132401391754164
專業群(職業)科,私立,女,29519,1823,405,17951,2641,111,49,129,138,10,5,89,101,63,79.660557606965,6.17568345811173,1.37199769639893,60.8116806124869,8.94678003997425,0.376028998272299,0.165994783021105,0.437006673667807,0.467495511365561,0.033876486330838,0.016938243165419,0.301500728344456,0.342152511941461,0.213421863884278
綜合高中,國立,男,3823,1026,36,2128,64,8,0,0,1,1,72,83,26,0,90.1124771122155,26.8375621239864,0.941668846455663,55.6630918127125,1.67407794925451,0.209259743656814,0,0,0.026157467957102,0.026157467957102,1.88333769291133,2.17106984043945,0.680094166884645,0
綜合高中,國立,女,4882,1066,46,3343,69,10,4,2,0,0,3,56,32,0,94.8586644817698,21.8353133961491,0.942236788201557,68.4760344121262,1.41335518230234,0.204834084391643,0.081933633756657,0.040966816878329,0,0,0.061450225317493,1.1470708725932,0.655469070053257,0
綜合高中,縣市立,男,1769,513,23,1066,17,2,0,0,0,1,6,26,2,0,93.6122102882985,28.9994347088751,1.30016958733748,60.2600339174675,0.960994912379876,0.113058224985868,0,0,0,0.056529112492934,0.339174674957603,1.46975692481628,0.113058224985868,0
綜合高中,縣市立,女,1840,394,31,1316,11,1,1,0,2,0,1,5,1,0,95.8152173913043,21.4130434782609,1.68478260869565,71.5217391304348,0.597826086956522,0.054347826086957,0.054347826086957,0,0.108695652173913,0,0.054347826086957,0.271739130434783,0.054347826086957,0
綜合高中,私立,男,4057,558,100,2454,274,5,0,2,0,0,6,64,30,7,86.2706433325117,13.7540054227262,2.46487552378605,60.4880453537096,6.75375893517377,0.123243776189302,0,0.049297510475721,0,0,0.147892531427163,1.57752033522307,0.739462657135815,0.172541286665023
綜合高中,私立,女,4216,472,64,3078,200,1,0,4,2,0,3,18,46,7,92.3861480075901,11.1954459203036,1.5180265654649,73.0075901328273,4.7438330170778,0.023719165085389,0,0.094876660341556,0.047438330170778,0,0.071157495256167,0.426944971537002,1.09108159392789,0.166034155597723
實用技能學程,國立,男,1770,89,83,505,219,7,3,1,13,1,3,24,2,5,53.954802259887,5.02824858757062,4.68926553672316,28.5310734463277,12.3728813559322,0.395480225988701,0.169491525423729,0.056497175141243,0.734463276836158,0.056497175141243,0.169491525423729,1.35593220338983,0.112994350282486,0.282485875706215
實用技能學程,國立,女,1320,39,44,529,159,4,4,4,3,0,0,5,1,1,60.0757575757576,2.95454545454545,3.33333333333333,40.0757575757576,12.0454545454545,0.303030303030303,0.303030303030303,0.303030303030303,0.227272727272727,0,0,0.378787878787879,0.075757575757576,0.075757575757576
實用技能學程,縣市立,男,201,5,2,61,42,0,0,0,0,0,0,0,0,0,54.726368159204,2.48756218905473,0.99502487562189,30.3482587064677,20.8955223880597,0,0,0,0,0,0,0,0,0
實用技能學程,縣市立,女,91,6,8,31,11,1,0,0,0,0,0,0,0,0,62.6373626373626,6.59340659340659,8.79120879120879,34.0659340659341,12.0879120879121,1.0989010989011,0,0,0,0,0,0,0,0
實用技能學程,私立,男,4175,54,27,980,389,3,5,25,23,0,1,46,1,5,37.3413173652695,1.29341317365269,0.646706586826347,23.4730538922156,9.31736526946108,0.07185628742515,0.119760479041916,0.598802395209581,0.550898203592814,0,0.023952095808383,1.10179640718563,0.023952095808383,0.119760479041916
實用技能學程,私立,女,3377,50,35,1032,454,18,3,13,39,0,2,9,3,4,49.2152798341723,1.48060408646728,1.0364228605271,30.5596683446846,13.4438851051229,0.53301747112822,0.088836245188037,0.384957062481492,1.15487118744448,0,0.059224163458691,0.26650873556411,0.088836245188037,0.118448326917382
進修部(學校),國立,男,2476,55,89,348,334,2,20,7,28,2,0,8,1,4,36.2681744749596,2.22132471728594,3.59450726978998,14.0549273021002,13.4894991922456,0.080775444264944,0.807754442649435,0.282714054927302,1.13085621970921,0.080775444264944,0,0.323101777059774,0.040387722132472,0.161550888529887
進修部(學校),國立,女,1733,36,112,235,281,4,44,17,32,0,0,4,1,11,44.8355452971725,2.07732256203116,6.46278130409694,13.5603000577034,16.2146566647432,0.230813618003462,2.53894979803808,0.980957876514714,1.8465089440277,0,0,0.230813618003462,0.057703404500866,0.634737449509521
進修部(學校),縣市立,男,1176,51,104,330,202,5,5,0,1,0,0,5,1,1,59.9489795918367,4.33673469387755,8.84353741496599,28.0612244897959,17.1768707482993,0.425170068027211,0.425170068027211,0,0.085034013605442,0,0,0.425170068027211,0.085034013605442,0.085034013605442
進修部(學校),縣市立,女,802,29,62,183,115,5,6,1,2,0,0,0,0,1,50.3740648379052,3.61596009975062,7.73067331670823,22.8179551122194,14.3391521197007,0.623441396508728,0.748129675810474,0.124688279301746,0.249376558603491,0,0,0,0,0.124688279301746
進修部(學校),私立,男,5956,15,21,286,607,3,24,32,98,1,0,7,2,8,18.5359301544661,0.251846877098724,0.352585627938214,4.80188045668234,10.191403626595,0.050369375419745,0.402955003357958,0.537273337810611,1.645399597045,0.016789791806582,0,0.117528542646071,0.033579583613163,0.134318334452653
進修部(學校),私立,女,4486,9,27,332,627,10,33,22,146,1,0,4,6,11,27.3740526081141,0.200624164065983,0.601872492197949,7.40080249665626,13.9768167632635,0.222915737851092,0.735621934908605,0.490414623272403,3.25456977262595,0.022291573785109,0,0.089166295140437,0.133749442710655,0.245207311636201
