學程別,設立別,性別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,"出版_影音製作_傳播及資通訊人數
服務業",金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,"出版_影音製作_傳播及資通訊比率
服務業",金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
普通科,國立,男,16969,8,0,12,1,1,4,11,6,19,2,0,0,5,13,50,0,1,4,8,0.854499381224586,0.047144793446874,0,0.070717190170311,0.005893099180859,0.005893099180859,0.023572396723437,0.064824090989451,0.035358595085155,0.111968884436325,0.011786198361718,0,0,0.029465495904296,0.07661028935117,0.294654959042961,0,0.005893099180859,0.023572396723437,0.047144793446874
普通科,國立,女,17103,0,0,0,0,0,0,4,0,14,0,1,0,0,9,48,0,0,7,6,0.520376542127112,0,0,0,0,0,0,0.023387709758522,0,0.081856984154827,0,0.00584692743963,0,0,0.052622346956674,0.280652517102263,0,0,0.040928492077413,0.035081564637783
普通科,縣市立,男,19250,4,0,13,6,1,4,8,6,28,0,0,0,2,2,51,4,0,10,19,0.820779220779221,0.020779220779221,0,0.067532467532468,0.031168831168831,0.005194805194805,0.020779220779221,0.041558441558442,0.031168831168831,0.145454545454545,0,0,0,0.01038961038961,0.01038961038961,0.264935064935065,0.020779220779221,0,0.051948051948052,0.098701298701299
普通科,縣市立,女,21017,2,0,1,1,0,0,7,0,30,4,0,0,1,2,56,3,1,2,9,0.566208307560546,0.009516106009421,0,0.00475805300471,0.00475805300471,0,0,0.033306371032973,0,0.142741590141314,0.019032212018842,0,0,0.00475805300471,0.009516106009421,0.266450968263786,0.014274159014131,0.00475805300471,0.009516106009421,0.042822477042394
普通科,私立,男,12552,10,0,9,0,1,4,5,1,27,0,0,0,3,5,16,0,0,4,12,0.772785213511791,0.079668578712556,0,0.0717017208413,0,0.007966857871256,0.031867431485022,0.039834289356278,0.007966857871256,0.215105162523901,0,0,0,0.023900573613767,0.039834289356278,0.127469725940089,0,0,0.031867431485022,0.095602294455067
普通科,私立,女,11733,5,0,0,1,0,1,6,0,14,1,0,0,2,4,13,0,0,3,8,0.494332225347311,0.042614847012699,0,0,0.00852296940254,0,0.00852296940254,0.051137816415239,0,0.119321571635558,0.00852296940254,0,0,0.01704593880508,0.034091877610159,0.110798602233018,0,0,0.02556890820762,0.068183755220319
專業群(職業)科,國立,男,17295,94,2,289,47,6,95,106,27,253,4,1,3,189,98,163,4,8,41,162,9.20497253541486,0.543509684880023,0.011564035848511,1.67100318010986,0.271754842440012,0.034692107545533,0.549291702804279,0.61289389997109,0.1561144839549,1.46285053483666,0.023128071697022,0.005782017924256,0.017346053772767,1.0928013876843,0.566637756577045,0.942468921653657,0.023128071697022,0.046256143394045,0.237062734894478,0.936686903729401
專業群(職業)科,國立,女,12921,32,2,56,8,0,12,91,2,297,7,3,0,40,55,156,8,8,31,112,7.1201919356087,0.247658849934216,0.015478678120889,0.433402987384877,0.061914712483554,0,0.092872068725331,0.704279854500426,0.015478678120889,2.29858370095194,0.05417537342311,0.023218017181333,0,0.309573562417769,0.425663648324433,1.2073368934293,0.061914712483554,0.061914712483554,0.239919510873771,0.866805974769755
專業群(職業)科,縣市立,男,6896,2,0,51,12,1,6,35,24,42,1,1,1,40,30,0,0,1,7,27,4.07482598607889,0.029002320185615,0,0.739559164733179,0.174013921113689,0.014501160092807,0.087006960556845,0.50754060324826,0.348027842227378,0.609048723897912,0.014501160092807,0.014501160092807,0.014501160092807,0.580046403712297,0.435034802784223,0,0,0.014501160092807,0.101508120649652,0.3915313225058
專業群(職業)科,縣市立,女,4290,0,0,18,0,2,2,22,6,19,2,0,0,7,17,13,1,5,9,15,3.21678321678322,0,0,0.41958041958042,0,0.046620046620047,0.046620046620047,0.512820512820513,0.13986013986014,0.442890442890443,0.046620046620047,0,0,0.163170163170163,0.396270396270396,0.303030303030303,0.023310023310023,0.116550116550117,0.20979020979021,0.34965034965035
專業群(職業)科,私立,男,32477,180,27,980,102,10,265,412,316,1924,115,17,10,475,228,422,6,18,307,774,20.2851248575915,0.5542383840872,0.08313575761308,3.01752009114142,0.314068417649413,0.030791021338178,0.815962065461711,1.26859007913292,0.972996274286418,5.92419250546541,0.354096745389045,0.052344736274902,0.030791021338178,1.46257351356345,0.702035286510454,1.2993811004711,0.018474612802907,0.05542383840872,0.945284355082058,2.38322505157496
專業群(職業)科,私立,女,29519,27,1,200,14,2,18,401,70,1644,59,26,3,452,122,262,55,48,324,853,15.5188183881568,0.091466513093262,0.003387648633084,0.677529726616755,0.047427080863173,0.006775297266168,0.060977675395508,1.35844710186659,0.237135404315864,5.56929435278973,0.199871269351943,0.088078864460178,0.010162945899251,1.53121718215387,0.413293133236221,0.887563941867949,0.186320674819608,0.162607134388021,1.09759815711914,2.88966428402046
綜合高中,國立,男,3823,11,2,15,2,0,7,19,4,38,1,1,0,9,6,64,0,0,7,15,5.25765105937745,0.287732147528119,0.052314935914204,0.392362019356526,0.052314935914204,0,0.183102275699712,0.496991891184933,0.104629871828407,0.993983782369867,0.026157467957102,0.026157467957102,0,0.235417211613916,0.156944807742611,1.67407794925451,0,0,0.183102275699712,0.392362019356526
綜合高中,國立,女,4882,3,0,6,0,0,1,15,5,41,0,1,1,3,5,51,1,0,4,13,3.07251126587464,0.061450225317493,0,0.122900450634986,0,0,0.020483408439164,0.307251126587464,0.102417042195821,0.839819746005735,0,0.020483408439164,0.020483408439164,0.061450225317493,0.102417042195821,1.04465383039738,0.020483408439164,0,0.081933633756657,0.266284309709136
綜合高中,縣市立,男,1769,0,1,3,0,0,0,6,2,10,0,0,0,0,0,3,0,0,5,5,1.97851893725269,0,0.056529112492934,0.169587337478802,0,0,0,0.339174674957603,0.113058224985868,0.565291124929339,0,0,0,0,0,0.169587337478802,0,0,0.282645562464669,0.282645562464669
綜合高中,縣市立,女,1840,0,0,3,0,0,0,7,2,11,0,0,0,0,1,9,0,0,1,8,2.28260869565217,0,0,0.16304347826087,0,0,0,0.380434782608696,0.108695652173913,0.597826086956522,0,0,0,0,0.054347826086957,0.489130434782609,0,0,0.054347826086957,0.434782608695652
綜合高中,私立,男,4057,11,0,30,8,0,11,13,16,85,2,0,0,15,6,35,3,0,11,42,7.09884150850382,0.271136307616465,0,0.739462657135815,0.197190041902884,0,0.271136307616465,0.320433818092186,0.394380083805768,2.09514419521814,0.049297510475721,0,0,0.369731328567907,0.147892531427163,0.862706433325117,0.073946265713582,0,0.271136307616465,1.03524771999014
綜合高中,私立,女,4216,3,0,6,2,1,1,21,6,80,0,2,0,12,23,40,5,1,10,29,5.74003795066414,0.071157495256167,0,0.142314990512334,0.047438330170778,0.023719165085389,0.023719165085389,0.498102466793169,0.142314990512334,1.89753320683112,0,0.047438330170778,0,0.284629981024668,0.545540796963947,0.94876660341556,0.118595825426945,0.023719165085389,0.23719165085389,0.687855787476281
實用技能學程,國立,男,1770,41,0,93,6,2,28,45,17,71,5,1,0,86,10,42,0,2,13,63,29.6610169491525,2.31638418079096,0,5.25423728813559,0.338983050847458,0.112994350282486,1.5819209039548,2.54237288135593,0.96045197740113,4.01129943502825,0.282485875706215,0.056497175141243,0,4.85875706214689,0.564971751412429,2.3728813559322,0,0.112994350282486,0.734463276836158,3.5593220338983
實用技能學程,國立,女,1320,6,0,31,2,0,0,52,1,154,4,1,0,27,24,20,2,6,17,72,31.7424242424242,0.454545454545455,0,2.34848484848485,0.151515151515152,0,0,3.93939393939394,0.075757575757576,11.6666666666667,0.303030303030303,0.075757575757576,0,2.04545454545455,1.81818181818182,1.51515151515152,0.151515151515152,0.454545454545455,1.28787878787879,5.45454545454545
實用技能學程,縣市立,男,201,0,0,8,0,0,3,7,2,13,0,1,0,10,4,1,0,0,5,1,27.363184079602,0,0,3.98009950248756,0,0,1.49253731343284,3.48258706467662,0.99502487562189,6.46766169154229,0,0.497512437810945,0,4.97512437810945,1.99004975124378,0.497512437810945,0,0,2.48756218905473,0.497512437810945
實用技能學程,縣市立,女,91,0,0,3,0,0,0,1,0,5,0,0,0,5,6,0,1,1,3,2,29.6703296703297,0,0,3.2967032967033,0,0,0,1.0989010989011,0,5.49450549450549,0,0,0,5.49450549450549,6.59340659340659,0,1.0989010989011,1.0989010989011,3.2967032967033,2.1978021978022
實用技能學程,私立,男,4175,50,17,246,25,6,87,136,144,549,10,1,9,212,36,98,3,4,48,171,44.3592814371258,1.19760479041916,0.407185628742515,5.89221556886228,0.598802395209581,0.143712574850299,2.08383233532934,3.25748502994012,3.44910179640719,13.1497005988024,0.239520958083832,0.023952095808383,0.215568862275449,5.07784431137725,0.862275449101796,2.34730538922156,0.07185628742515,0.095808383233533,1.1497005988024,4.09580838323353
實用技能學程,私立,女,3377,9,4,60,12,0,6,130,19,523,10,6,2,156,46,61,12,11,84,208,40.2428190701806,0.26650873556411,0.118448326917382,1.77672490376073,0.355344980752147,0,0.177672490376073,3.84957062481492,0.562629552857566,15.4871187444477,0.296120817293456,0.177672490376073,0.059224163458691,4.61948474977791,1.3621557595499,1.80633698549008,0.355344980752147,0.325732899022801,2.48741486526503,6.15931299970388
進修部(學校),國立,男,2476,40,3,332,22,0,77,71,48,151,7,1,5,92,74,20,0,9,60,143,46.6478190630049,1.61550888529887,0.121163166397415,13.4087237479806,0.888529886914378,0,3.10985460420032,2.86752827140549,1.93861066235864,6.09854604200323,0.282714054927302,0.040387722132472,0.201938610662359,3.7156704361874,2.98869143780291,0.807754442649435,0,0.363489499192246,2.4232633279483,5.77544426494346
進修部(學校),國立,女,1733,21,4,108,5,2,8,100,15,184,13,12,7,28,49,16,2,18,86,127,46.4512406231968,1.21177149451818,0.230813618003462,6.23196768609348,0.288517022504328,0.115406809001731,0.461627236006924,5.77034045008656,0.865551067512983,10.6174264281593,0.750144258511252,0.692440854010387,0.403923831506059,1.61569532602424,2.82746682054241,0.923254472013849,0.115406809001731,1.03866128101558,4.96249278707444,7.32833237160993
進修部(學校),縣市立,男,1176,9,1,40,11,3,31,21,14,56,1,4,3,35,11,4,1,2,21,46,26.7006802721088,0.76530612244898,0.085034013605442,3.40136054421769,0.935374149659864,0.255102040816327,2.63605442176871,1.78571428571429,1.19047619047619,4.76190476190476,0.085034013605442,0.340136054421769,0.255102040816327,2.97619047619048,0.935374149659864,0.340136054421769,0.085034013605442,0.170068027210884,1.78571428571429,3.91156462585034
進修部(學校),縣市立,女,802,3,1,17,2,0,3,14,3,31,3,13,0,7,6,4,1,3,11,120,30.1745635910224,0.374064837905237,0.124688279301746,2.11970074812968,0.249376558603491,0,0.374064837905237,1.74563591022444,0.374064837905237,3.86533665835411,0.374064837905237,1.62094763092269,0,0.872817955112219,0.748129675810474,0.498753117206983,0.124688279301746,0.374064837905237,1.3715710723192,14.9625935162095
進修部(學校),私立,男,5956,67,7,564,94,34,199,291,240,747,52,55,30,241,255,14,0,26,264,511,61.9711215580927,1.12491605104097,0.117528542646071,9.46944257891202,1.57824042981867,0.570852921423774,3.34116856950974,4.88582941571525,4.02955003357958,12.5419744795165,0.873069173942243,0.923438549361988,0.503693754197448,4.04633982538617,4.28139691067831,0.235057085292142,0,0.436534586971122,4.43250503693754,8.5795836131632
進修部(學校),私立,女,4486,19,3,202,28,1,14,267,87,667,38,37,16,147,225,18,5,51,309,599,60.9228711547035,0.423539901917075,0.066874721355328,4.50289790459206,0.624164065983058,0.022291573785109,0.312082032991529,5.95185020062416,1.9393669193045,14.8684797146679,0.847079803834151,0.824788230049041,0.356665180561748,3.27686134641106,5.01560410164958,0.401248328131966,0.111457868925546,1.13687026304057,6.88809629959875,13.3526526972804
