學程別,設立別,性別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
普通科,國立,男,12381,5727,49,4827,47,1,0,0,0,38,309,270,159,1,92.3,46.26,0.4,38.99,0.38,0.01,0,0,0,0.31,2.5,2.18,1.28,0.01
普通科,國立,女,13014,5350,80,6628,67,0,0,0,0,1,32,176,146,24,96.08,41.11,0.61,50.93,0.51,0,0,0,0,0.01,0.25,1.35,1.12,0.18
普通科,縣市立,男,23143,10021,85,10724,159,5,0,0,0,23,266,242,258,5,94.15,43.3,0.37,46.34,0.69,0.02,0,0,0,0.1,1.15,1.05,1.11,0.02
普通科,縣市立,女,24351,9111,76,13708,115,7,0,2,0,11,36,133,281,2,96.43,37.42,0.31,56.29,0.47,0.03,0,0.01,0,0.05,0.15,0.55,1.15,0.01
普通科,私立,男,13980,3610,71,8241,194,0,0,0,0,23,178,273,521,1,93.79,25.82,0.51,58.95,1.39,0,0,0,0,0.16,1.27,1.95,3.73,0.01
普通科,私立,女,13771,3135,70,9240,186,0,1,1,0,11,18,119,455,3,96.14,22.77,0.51,67.1,1.35,0,0.01,0.01,0,0.08,0.13,0.86,3.3,0.02
專業群科,國立,男,13352,3885,647,5040,514,101,14,6,5,2,33,190,8,1,78.24,29.1,4.85,37.75,3.85,0.76,0.1,0.04,0.04,0.01,0.25,1.42,0.06,0.01
專業群科,國立,女,9680,2945,396,4874,201,40,5,3,4,1,2,57,13,1,88.24,30.42,4.09,50.35,2.08,0.41,0.05,0.03,0.04,0.01,0.02,0.59,0.13,0.01
專業群科,縣市立,男,9315,4040,326,3611,160,36,1,0,1,3,12,70,16,1,88.86,43.37,3.5,38.77,1.72,0.39,0.01,0,0.01,0.03,0.13,0.75,0.17,0.01
專業群科,縣市立,女,5688,2321,119,2790,54,10,0,1,0,0,1,13,20,3,93.74,40.81,2.09,49.05,0.95,0.18,0,0.02,0,0,0.02,0.23,0.35,0.05
專業群科,私立,男,33114,2298,600,16251,3365,86,54,130,175,9,22,393,53,25,70.85,6.94,1.81,49.08,10.16,0.26,0.16,0.39,0.53,0.03,0.07,1.19,0.16,0.08
專業群科,私立,女,30259,2232,752,18098,2704,99,54,148,121,5,14,114,111,29,80.9,7.38,2.49,59.81,8.94,0.33,0.18,0.49,0.4,0.02,0.05,0.38,0.37,0.1
綜合高中,國立,男,2545,669,27,1348,39,5,0,0,1,3,44,54,16,0,86.68,26.29,1.06,52.97,1.53,0.2,0,0,0.04,0.12,1.73,2.12,0.63,0
綜合高中,國立,女,3367,762,56,2205,55,1,0,0,0,1,5,28,21,0,93.08,22.63,1.66,65.49,1.63,0.03,0,0,0,0.03,0.15,0.83,0.62,0
綜合高中,縣市立,男,1906,595,15,1088,11,0,0,0,0,1,21,36,4,4,93.13,31.22,0.79,57.08,0.58,0,0,0,0,0.05,1.1,1.89,0.21,0.21
綜合高中,縣市立,女,2066,455,17,1464,11,0,0,0,0,0,1,12,6,0,95.16,22.02,0.82,70.86,0.53,0,0,0,0,0,0.05,0.58,0.29,0
綜合高中,私立,男,2686,319,68,1632,104,2,1,12,5,0,6,57,27,2,83.21,11.88,2.53,60.76,3.87,0.07,0.04,0.45,0.19,0,0.22,2.12,1.01,0.07
綜合高中,私立,女,3276,306,52,2411,121,6,1,24,4,0,2,18,34,4,91.06,9.34,1.59,73.6,3.69,0.18,0.03,0.73,0.12,0,0.06,0.55,1.04,0.12
實用技能學程,國立,男,1449,91,106,470,142,13,8,0,0,0,1,10,1,2,58.25,6.28,7.32,32.44,9.8,0.9,0.55,0,0,0,0.07,0.69,0.07,0.14
實用技能學程,國立,女,1048,54,38,448,74,8,5,3,1,0,1,8,0,19,62.88,5.15,3.63,42.75,7.06,0.76,0.48,0.29,0.1,0,0.1,0.76,0,1.81
實用技能學程,縣市立,男,394,11,9,77,64,2,2,0,0,0,0,0,0,0,41.88,2.79,2.28,19.54,16.24,0.51,0.51,0,0,0,0,0,0,0
實用技能學程,縣市立,女,221,13,13,68,27,4,2,4,1,0,0,1,0,0,60.18,5.88,5.88,30.77,12.22,1.81,0.9,1.81,0.45,0,0,0.45,0,0
實用技能學程,私立,男,3894,43,16,943,480,16,7,10,31,1,0,11,1,30,40.81,1.1,0.41,24.22,12.33,0.41,0.18,0.26,0.8,0.03,0,0.28,0.03,0.77
實用技能學程,私立,女,3000,35,22,966,391,31,8,4,44,2,0,9,0,9,50.7,1.17,0.73,32.2,13.03,1.03,0.27,0.13,1.47,0.07,0,0.3,0,0.3
進修部,國立,男,1705,43,48,234,180,6,16,6,22,0,2,8,2,17,34.25,2.52,2.82,13.72,10.56,0.35,0.94,0.35,1.29,0,0.12,0.47,0.12,1
進修部,國立,女,1104,27,42,136,136,3,17,3,16,0,0,4,1,8,35.6,2.45,3.8,12.32,12.32,0.27,1.54,0.27,1.45,0,0,0.36,0.09,0.72
進修部,縣市立,男,1202,31,71,258,286,8,6,0,13,0,1,5,2,2,56.82,2.58,5.91,21.46,23.79,0.67,0.5,0,1.08,0,0.08,0.42,0.17,0.17
進修部,縣市立,女,784,27,93,112,152,4,5,0,2,0,0,0,3,11,52.17,3.44,11.86,14.29,19.39,0.51,0.64,0,0.26,0,0,0,0.38,1.4
