學程別,設立別,性別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版_影音製作_傳播及資通訊服務業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版_影音製作_傳播及資通訊服務業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
普通科,國立,男,12072,4,1,14,2,1,5,6,2,18,0,1,0,5,8,97,0,1,4,11,1.49,0.03,0.01,0.12,0.02,0.01,0.04,0.05,0.02,0.15,0,0.01,0,0.04,0.07,0.8,0,0.01,0.03,0.09
普通科,國立,女,12356,1,0,1,0,1,1,10,2,12,0,0,0,3,8,29,0,2,6,8,0.68,0.01,0,0.01,0,0.01,0.01,0.08,0.02,0.1,0,0,0,0.02,0.06,0.23,0,0.02,0.05,0.06
普通科,縣市立,男,22180,7,5,8,4,1,8,10,6,36,2,2,0,6,14,97,1,1,18,20,1.11,0.03,0.02,0.04,0.02,0,0.04,0.05,0.03,0.16,0.01,0.01,0,0.03,0.06,0.44,0,0,0.08,0.09
普通科,縣市立,女,23872,2,5,9,0,1,0,17,2,23,1,2,0,2,7,39,3,0,11,12,0.57,0.01,0.02,0.04,0,0,0,0.07,0.01,0.1,0,0.01,0,0.01,0.03,0.16,0.01,0,0.05,0.05
普通科,私立,男,10547,10,0,10,0,0,6,4,3,25,2,1,1,8,1,18,1,1,22,5,1.12,0.09,0,0.09,0,0,0.06,0.04,0.03,0.24,0.02,0.01,0.01,0.08,0.01,0.17,0.01,0.01,0.21,0.05
普通科,私立,女,10601,0,0,0,0,0,0,1,0,13,2,0,0,2,1,19,0,0,7,6,0.48,0,0,0,0,0,0,0.01,0,0.12,0.02,0,0,0.02,0.01,0.18,0,0,0.07,0.06
專業群科,國立,男,13007,122,3,257,45,10,96,92,50,275,10,5,0,137,90,375,1,5,24,102,13.06,0.94,0.02,1.98,0.35,0.08,0.74,0.71,0.38,2.11,0.08,0.04,0,1.05,0.69,2.88,0.01,0.04,0.18,0.78
專業群科,國立,女,9076,35,1,67,8,2,7,85,9,285,5,1,1,14,19,123,4,7,24,66,8.41,0.39,0.01,0.74,0.09,0.02,0.08,0.94,0.1,3.14,0.06,0.01,0.01,0.15,0.21,1.36,0.04,0.08,0.26,0.73
專業群科,縣市立,男,9216,6,0,256,10,2,28,34,23,88,15,0,0,65,51,32,1,6,20,60,7.56,0.07,0,2.78,0.11,0.02,0.3,0.37,0.25,0.95,0.16,0,0,0.71,0.55,0.35,0.01,0.07,0.22,0.65
專業群科,縣市立,女,5747,5,0,30,0,0,2,21,0,74,8,5,0,11,23,11,0,3,9,20,3.86,0.09,0,0.52,0,0,0.03,0.37,0,1.29,0.14,0.09,0,0.19,0.4,0.19,0,0.05,0.16,0.35
專業群科,私立,男,22544,111,31,552,79,17,186,235,140,1299,50,19,5,502,140,634,3,26,191,440,20.67,0.49,0.14,2.45,0.35,0.08,0.83,1.04,0.62,5.76,0.22,0.08,0.02,2.23,0.62,2.81,0.01,0.12,0.85,1.95
專業群科,私立,女,21944,20,0,130,6,6,17,243,43,1344,37,7,1,247,80,248,33,45,243,570,15.13,0.09,0,0.59,0.03,0.03,0.08,1.11,0.2,6.12,0.17,0.03,0,1.13,0.36,1.13,0.15,0.21,1.11,2.6
綜合高中,國立,男,2021,3,0,15,1,0,3,3,2,30,0,1,0,3,5,24,0,0,1,7,4.85,0.15,0,0.74,0.05,0,0.15,0.15,0.1,1.48,0,0.05,0,0.15,0.25,1.19,0,0,0.05,0.35
綜合高中,國立,女,2727,1,0,4,0,0,0,7,0,29,0,0,0,1,5,27,0,1,2,8,3.12,0.04,0,0.15,0,0,0,0.26,0,1.06,0,0,0,0.04,0.18,0.99,0,0.04,0.07,0.29
