學程別,設立別,畢業生人數,升公立大學日間部人數,升公立大學進修學士班人數,升私立大學日間部人數,升私立大學進修學士班人數,升公立二專日間部人數,升公立二專夜間部人數,升私立二專日間部人數,升私立二專夜間部人數,升警大_警專_軍校人數,赴國外_大陸就讀人數,升其他學校人數,就農_林_漁_牧業人數,就礦業及土石採取業人數,就製造業人數,就電力及燃氣供應業人數,就用水供應及污染整治業人數,就營造業人數,就批發及零售業人數,就運輸及倉儲業人數,就住宿及餐飲業人數,就資訊及通訊傳播業人數,就金融及保險業人數,就不動產業人數,就專業_科學及技術服務業人數,就支援服務業人數,就公共行政及國防；強制性社會安全人數,就教育服務業人數,就醫療保健及社會工作服務業人數,就藝術_娛樂及休閒服務業人數,就其他服務業人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數
普通科,國立,23214,11311,134,10253,81,0,0,1,0,569,139,5,6,0,16,3,0,13,12,1,41,0,1,1,4,10,109,4,0,11,33,8,56,11,299,3,4,45
普通科,縣市立,45068,18423,146,24061,364,2,1,1,0,543,224,6,6,0,26,4,1,18,12,9,80,0,7,2,2,20,130,0,6,38,43,27,73,29,595,10,14,31
普通科,私立,22119,6362,90,13535,347,8,1,8,0,385,721,7,10,0,8,0,0,5,10,3,30,2,3,0,2,12,67,0,2,11,18,7,32,10,354,10,23,5
專業群(職業)科,國立,20978,7879,849,8283,433,101,13,15,16,182,4,6,128,4,316,51,6,138,120,63,411,11,7,1,123,117,490,3,9,52,225,77,215,282,100,41,6,80
專業群(職業)科,縣市立,14173,6911,440,5540,167,27,5,6,0,73,9,0,6,0,115,21,4,15,49,15,111,3,5,5,27,93,50,1,14,10,76,37,48,110,69,35,5,51
專業群(職業)科,私立,40437,3923,1277,22467,2911,125,72,90,98,272,42,65,159,17,724,72,25,278,373,200,1763,62,9,3,550,257,780,21,58,260,685,111,523,1291,168,94,56,230
綜合高中,國立,4199,1287,81,2438,69,2,0,0,0,94,20,2,7,0,8,1,0,5,6,0,26,0,1,0,0,4,41,1,0,5,11,2,16,6,27,0,1,9
綜合高中,縣市立,2422,559,28,1664,25,0,0,0,0,46,0,0,0,0,0,1,0,2,3,0,13,0,0,0,2,6,13,0,0,4,5,3,6,9,19,0,0,1
綜合高中,私立,2642,362,22,1749,124,0,0,0,0,38,28,0,5,0,5,4,2,5,8,6,47,3,0,2,4,9,84,1,1,16,30,6,30,9,15,4,5,7
實用技能學程,國立,1899,166,103,765,133,21,6,4,0,16,0,1,44,5,62,25,1,36,44,8,91,1,0,1,16,15,64,0,2,30,32,6,44,68,7,5,0,7
實用技能學程,縣市立,375,25,70,46,93,0,8,0,1,0,0,0,0,0,27,0,0,5,2,0,25,0,1,1,29,4,4,0,0,2,4,1,13,3,4,2,1,1
實用技能學程,私立,5631,111,93,1826,583,17,15,42,28,21,1,0,60,10,260,36,6,132,153,85,689,7,2,3,235,46,141,1,11,57,265,45,105,395,11,14,4,64
進修部(學校),國立,1802,65,94,227,202,2,14,2,19,7,0,15,45,1,187,15,5,53,96,23,187,2,8,4,45,47,44,4,36,47,105,10,52,44,13,13,0,48
進修部(學校),縣市立,1287,61,84,215,189,3,7,4,1,11,1,2,9,1,74,9,1,34,47,19,86,0,9,6,45,20,9,2,8,47,51,6,47,37,5,7,1,110
進修部(學校),私立,5663,44,70,289,749,11,40,9,71,7,0,10,64,16,357,21,4,174,342,241,727,39,50,42,180,210,66,19,35,276,523,66,117,297,36,46,8,139
