學程別,設立別,性別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版影音及資通訊業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版影音及資通訊業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
普通科,國立,男,11520,6,0,10,3,0,12,5,1,17,0,1,1,4,8,73,4,0,6,16,1.45,0.05,0,0.09,0.03,0,0.1,0.04,0.01,0.15,0,0.01,0.01,0.03,0.07,0.63,0.03,0,0.05,0.14
普通科,國立,女,11694,0,0,6,0,0,1,7,0,24,0,0,0,0,2,36,0,0,5,17,0.84,0,0,0.05,0,0,0.01,0.06,0,0.21,0,0,0,0,0.02,0.31,0,0,0.04,0.15
普通科,縣市立,男,21848,3,0,21,3,1,17,7,7,45,0,3,0,1,12,87,0,4,21,28,1.19,0.01,0,0.1,0.01,0,0.08,0.03,0.03,0.21,0,0.01,0,0,0.05,0.4,0,0.02,0.1,0.13
普通科,縣市立,女,23220,3,0,5,1,0,1,5,2,35,0,4,2,1,8,43,0,2,17,15,0.62,0.01,0,0.02,0,0,0,0.02,0.01,0.15,0,0.02,0.01,0,0.03,0.19,0,0.01,0.07,0.06
普通科,私立,男,11097,7,0,7,0,0,5,7,1,18,2,1,0,2,10,42,0,1,5,11,1.07,0.06,0,0.06,0,0,0.05,0.06,0.01,0.16,0.02,0.01,0,0.02,0.09,0.38,0,0.01,0.05,0.1
普通科,私立,女,11022,3,0,1,0,0,0,3,2,12,0,2,0,0,2,25,0,1,6,7,0.58,0.03,0,0.01,0,0,0,0.03,0.02,0.11,0,0.02,0,0,0.02,0.23,0,0.01,0.05,0.06
專業群科,國立,男,12233,99,3,247,47,3,133,62,53,185,9,1,1,111,71,353,0,2,24,145,12.66,0.81,0.02,2.02,0.38,0.02,1.09,0.51,0.43,1.51,0.07,0.01,0.01,0.91,0.58,2.89,0,0.02,0.2,1.19
專業群科,國立,女,8745,29,1,69,4,3,5,58,10,226,2,6,0,12,46,137,3,7,28,80,8.3,0.33,0.01,0.79,0.05,0.03,0.06,0.66,0.11,2.58,0.02,0.07,0,0.14,0.53,1.57,0.03,0.08,0.32,0.91
專業群科,縣市立,男,8709,3,0,104,21,4,14,34,13,61,1,1,2,25,59,39,1,8,5,44,5.04,0.03,0,1.19,0.24,0.05,0.16,0.39,0.15,0.7,0.01,0.01,0.02,0.29,0.68,0.45,0.01,0.09,0.06,0.51
專業群科,縣市立,女,5464,3,0,11,0,0,1,15,2,50,2,4,3,2,34,11,0,6,5,32,3.31,0.05,0,0.2,0,0,0.02,0.27,0.04,0.92,0.04,0.07,0.05,0.04,0.62,0.2,0,0.11,0.09,0.59
