學程別,設立別,性別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
普通科,國立,男,11520,3,56,4,214,2,1,35,0.03,0.49,0.03,1.86,0.02,0.01,0.3
普通科,國立,女,11694,5,0,7,85,1,3,10,0.04,0,0.06,0.73,0.01,0.03,0.09
普通科,縣市立,男,21848,14,73,21,395,7,6,18,0.06,0.33,0.1,1.81,0.03,0.03,0.08
普通科,縣市立,女,23220,13,0,8,200,3,8,13,0.06,0,0.03,0.86,0.01,0.03,0.06
普通科,私立,男,11097,4,32,9,224,2,17,2,0.04,0.29,0.08,2.02,0.02,0.15,0.02
普通科,私立,女,11022,3,0,1,130,8,6,3,0.03,0,0.01,1.18,0.07,0.05,0.03
專業群科,國立,男,12233,51,215,175,65,29,2,55,0.42,1.76,1.43,0.53,0.24,0.02,0.45
專業群科,國立,女,8745,26,0,107,35,12,4,25,0.3,0,1.22,0.4,0.14,0.05,0.29
專業群科,縣市立,男,8709,29,48,62,44,16,2,29,0.33,0.55,0.71,0.51,0.18,0.02,0.33
專業群科,縣市立,女,5464,8,0,48,25,19,3,22,0.15,0,0.88,0.46,0.35,0.05,0.4
專業群科,私立,男,20533,66,523,637,98,39,31,151,0.32,2.55,3.1,0.48,0.19,0.15,0.74
專業群科,私立,女,19904,45,0,654,70,55,25,79,0.23,0,3.29,0.35,0.28,0.13,0.4
綜合高中,國立,男,1825,1,16,3,18,0,1,4,0.05,0.88,0.16,0.99,0,0.05,0.22
綜合高中,國立,女,2374,1,0,3,9,0,0,5,0.04,0,0.13,0.38,0,0,0.21
綜合高中,縣市立,男,1141,2,6,5,11,0,0,0,0.18,0.53,0.44,0.96,0,0,0
綜合高中,縣市立,女,1281,1,0,4,8,0,0,1,0.08,0,0.31,0.62,0,0,0.08
綜合高中,私立,男,1273,2,30,4,10,3,4,5,0.16,2.36,0.31,0.79,0.24,0.31,0.39
綜合高中,私立,女,1369,4,0,5,5,1,1,2,0.29,0,0.37,0.37,0.07,0.07,0.15
實用技能學程,國立,男,1102,4,44,46,6,2,0,5,0.36,3.99,4.17,0.54,0.18,0,0.45
實用技能學程,國立,女,797,2,0,22,1,3,0,2,0.25,0,2.76,0.13,0.38,0,0.25
實用技能學程,縣市立,男,280,1,13,1,2,1,1,1,0.36,4.64,0.36,0.71,0.36,0.36,0.36
實用技能學程,縣市立,女,95,0,0,2,2,1,0,0,0,0,2.11,2.11,1.05,0,0
實用技能學程,私立,男,3192,28,105,203,6,8,0,49,0.88,3.29,6.36,0.19,0.25,0,1.54
實用技能學程,私立,女,2439,17,0,192,5,6,4,15,0.7,0,7.87,0.21,0.25,0.16,0.62
進修部,國立,男,1073,8,52,18,6,6,0,19,0.75,4.85,1.68,0.56,0.56,0,1.77
進修部,國立,女,729,2,0,26,7,7,0,29,0.27,0,3.57,0.96,0.96,0,3.98
進修部,縣市立,男,753,3,47,22,4,3,0,28,0.4,6.24,2.92,0.53,0.4,0,3.72
進修部,縣市立,女,534,3,0,15,1,4,1,82,0.56,0,2.81,0.19,0.75,0.19,15.36
進修部,私立,男,3049,32,117,159,15,15,6,96,1.05,3.84,5.21,0.49,0.49,0.2,3.15
進修部,私立,女,2614,34,0,138,21,31,2,43,1.3,0,5.28,0.8,1.19,0.08,1.64
